return_date,strategy,margin_requirement_nav,stress_margin_nav,assignment_notional_nav,excluded_gross_return_nav,margin_model
2021-01-29,Equity-option Greek Markowitz,3.820834687180749,0.24265127453972518,0.09624981422195138,0.0,conservative_research_simulation
2021-02-26,Equity-option Greek Markowitz,2.3729004841850756,0.23772144271290865,0.09624981422195138,0.0,conservative_research_simulation
2021-03-31,Equity-option Greek Markowitz,2.524731382853643,0.23772144271290865,0.0,0.0,conservative_research_simulation
2021-04-30,Equity-option Greek Markowitz,4.651547013914842,0.1691613071379278,0.028897542663797227,0.0,conservative_research_simulation
2021-06-30,Equity-option Greek Markowitz,5.684259139400258,0.18893258547263084,0.0,0.0,conservative_research_simulation
2021-07-30,Equity-option Greek Markowitz,7.342846378937843,0.216689086984591,0.0,0.0,conservative_research_simulation
2021-08-31,Equity-option Greek Markowitz,6.556877257917807,0.225273596315209,0.09624981422195138,0.0,conservative_research_simulation
2021-09-30,Equity-option Greek Markowitz,7.02117489595155,0.24277561433404968,0.10104673318273111,0.0,conservative_research_simulation
2021-10-29,Equity-option Greek Markowitz,4.3663317531608135,0.20320156620457774,0.0,0.0,conservative_research_simulation
2021-11-30,Equity-option Greek Markowitz,4.514065118601962,0.225273596315209,0.1251473568857486,0.0,conservative_research_simulation
2021-12-31,Equity-option Greek Markowitz,3.342921726069506,0.24999999999999897,0.09624981422195138,0.0,conservative_research_simulation
2022-01-31,Equity-option Greek Markowitz,5.107739682287455,0.20224095111428933,0.0,0.0,conservative_research_simulation
2022-02-28,Equity-option Greek Markowitz,2.8567351194712125,0.22593754644451108,0.0,0.0,conservative_research_simulation
2022-04-29,Equity-option Greek Markowitz,4.981055834264885,0.24999999999999897,0.0,0.0,conservative_research_simulation
2022-05-31,Equity-option Greek Markowitz,2.2756604407580316,0.24482148858453345,0.0,0.0,conservative_research_simulation
2022-06-30,Equity-option Greek Markowitz,2.609330951234651,0.225273596315209,0.0,0.0,conservative_research_simulation
2022-07-29,Equity-option Greek Markowitz,2.973565020890203,0.24767909569854024,0.0,0.0,conservative_research_simulation
2022-08-31,Equity-option Greek Markowitz,2.857066845500779,0.20121114275972116,0.0,0.0,conservative_research_simulation
2022-09-30,Equity-option Greek Markowitz,3.995859998685387,0.2258132066501866,0.0,0.0,conservative_research_simulation
2022-10-31,Equity-option Greek Markowitz,1.8268970997601757,0.23487891479453438,0.0,0.0,conservative_research_simulation
2022-11-30,Equity-option Greek Markowitz,2.4202283134449476,0.22593754644451108,0.0,0.0,conservative_research_simulation
2022-12-30,Equity-option Greek Markowitz,3.8543314954146966,0.19517924489170982,0.028897542663797227,0.0,conservative_research_simulation
2023-01-31,Equity-option Greek Markowitz,2.161899792814204,0.22593754644451108,0.028897542663797227,0.0,conservative_research_simulation
2023-02-28,Equity-option Greek Markowitz,2.4886492755763108,0.2258132066501866,0.0,0.0,conservative_research_simulation
