Strategy,Metric,Estimate,CI lo,CI hi,N,Method,Block size,Seed,Return basis
VIX hedge sleeve,Calmar,-12.391265152890583,-15.461458734885014,-7.145363772374745,60,circular block bootstrap,8,20260625,Post-cost research
VIX hedge sleeve,Omega,0.015722168256542882,0.004396128726541446,0.03193413513482595,60,circular block bootstrap,8,20260625,Post-cost research
VIX hedge sleeve,Information Ratio,-3.401816512338465,,,60,circular block bootstrap,8,20260625,Post-cost research
Delta-matched equities,Sharpe,1.1763702582317712,0.37211823642566366,2.182421511461844,60,circular block bootstrap,8,20260625,Post-cost research
Delta-matched equities,Sortino,2.31736748845411,0.6145471630884706,5.885987405536526,60,circular block bootstrap,8,20260625,Post-cost research
Delta-matched equities,Calmar,1.2251171795483853,0.3881993756019669,3.7164863186503045,60,circular block bootstrap,8,20260625,Post-cost research
Delta-matched equities,Omega,2.3666100859776584,1.3007957702413377,5.182450081262719,60,circular block bootstrap,8,20260625,Post-cost research
Delta-matched equities,Information Ratio,0.9945409223282815,,,60,circular block bootstrap,8,20260625,Post-cost research
Underlying Markowitz,Sharpe,0.9088833301008382,0.1027785508236578,1.8123811817417679,60,circular block bootstrap,8,20260625,Post-cost research
Underlying Markowitz,Sortino,1.8560338426832312,0.1723800154539207,4.957990850567326,60,circular block bootstrap,8,20260625,Post-cost research
Underlying Markowitz,Calmar,0.5902286749234765,0.04546681416770189,2.5444203812380253,60,circular block bootstrap,8,20260625,Post-cost research
Underlying Markowitz,Omega,1.9287455618155838,1.0741066695959622,3.877341403362404,60,circular block bootstrap,8,20260625,Post-cost research
Underlying Markowitz,Information Ratio,0.16572124516234446,,,60,circular block bootstrap,8,20260625,Post-cost research
