Strategy,Method,Realized Sharpe,P05 Sharpe,P50 Sharpe,P95 Sharpe,P50 Max Drawdown,P Sharpe Less Than 0,P Default
Beta/delta-neutral + VIX,gaussian_copula,1.4135317239912606,-3.636446892976237,-1.1073254589354502,0.608763390665293,-1.0,0.864,0.952
Cost-aware Sortino + VIX,gaussian_copula,1.0144053186224946,-1.9234248222168497,0.7113119295728518,1.6000517174641105,-1.0,0.268,0.964
Equal premium,gaussian_copula,-0.02955676336526383,-0.8873140237233621,1.324924696350055,2.4961116290268914,-0.9957903416796143,0.092,0.0
Equal risk,gaussian_copula,0.08183086586465663,-1.7069045695895009,1.2313021860731204,2.483224582913172,-0.9929393913929956,0.124,0.0
Equity-option Greek Markowitz,gaussian_copula,0.8421194565895301,-2.4741393329371015,-0.6127959977024342,0.958371170676578,-1.0,0.692,0.788
Greek Markowitz + VIX,gaussian_copula,1.374388539995489,-3.7642200270829442,-1.1828327098320663,0.7970863608124183,-1.0,0.832,0.952
VIX hedge sleeve,gaussian_copula,-6.429184989935395,-6.939580698040155,0.6075584054997333,2.772136653439191,-1.0,0.364,0.996
