return_date,decision_date,state_snapshot_date,expiry,payoff_date,asset_id,symbol,underlying,underlying_or_forward,kind,right,moneyness_bucket,mark,entry_price,strike,start_spot,payoff_raw_close,terminal_spot_proxy,expiry_spot_proxy,vix_close_proxy_settlement,exact_minus_vix_close_proxy,terminal_forward_proxy,expiry_weight,payoff_proxy,exit_price,option_return,delta,gamma,vega,theta,iv_proxy,expiry_days,settlement_source,greek_model,vx_contract,train_end_date,asset_class
2015-02-27,2015-01-30,2015-01-30,2015-02-18,2015-02-18,VIX_call_vix_atm,VIX   150218C00022000,VX_FRONT,VX_FRONT,call,call,vix_atm,2.15,2.15,22.0,21.025,16.64,16.64,16.64,15.449999809265137,1.1900001907348638,17.875,1.0,0.0,0.0,-1.0,0.5012001927273874,0.062055778829430315,1.9117022412723355,-24.87378479047135,1.3387678466148694,19,vro_soq_exact,black76_vx_forward,VXG15,2020-12-31,vix_option
2015-02-27,2015-01-30,2015-01-30,2015-02-18,2015-02-18,VIX_call_vix_call_near,VIX   150218C00025000,VX_FRONT,VX_FRONT,call,call,vix_call_near,1.45,1.45,25.0,21.025,16.64,16.64,16.64,15.449999809265137,1.1900001907348638,17.875,1.0,0.0,0.0,-1.0,0.3613237467953714,0.05349779129201401,1.7956630914650509,-25.386203624019114,1.458667338313199,19,vro_soq_exact,black76_vx_forward,VXG15,2020-12-31,vix_option
2015-02-27,2015-01-30,2015-01-30,2015-02-18,2015-02-18,VIX_call_vix_call_wing,VIX   150218C00030000,VX_FRONT,VX_FRONT,call,call,vix_call_wing,0.65,0.65,30.0,21.025,16.64,16.64,16.64,15.449999809265137,1.1900001907348638,17.875,1.0,0.0,0.0,-1.0,0.19126632999434742,0.03800575390765002,1.3065211421712604,-18.716431874887125,1.4939440899311218,19,vro_soq_exact,black76_vx_forward,VXG15,2020-12-31,vix_option
2015-02-27,2015-01-30,2015-01-30,2015-02-18,2015-02-18,VIX_put_vix_atm,VIX   150218P00020000,VX_FRONT,VX_FRONT,put,put,vix_atm,1.75,1.75,20.0,21.025,16.64,16.64,16.64,15.449999809265137,1.1900001907348638,17.875,1.0,3.3599999999999994,3.3599999999999994,0.9199999999999997,-0.3742565736005166,0.06596885360074599,1.8165521259893378,-21.12400651939574,1.1966749003050126,19,vro_soq_exact,black76_vx_forward,VXG15,2020-12-31,vix_option
2015-02-27,2015-01-30,2015-01-30,2015-02-18,2015-02-18,VIX_put_vix_put_near,VIX   150218P00017000,VX_FRONT,VX_FRONT,put,put,vix_put_near,0.47,0.47,17.0,21.025,16.64,16.64,16.64,15.449999809265137,1.1900001907348638,17.875,1.0,0.35999999999999943,0.35999999999999943,-0.23404255319149048,-0.1578696898470788,0.04760246492434882,1.1565366090139788,-11.755316562083001,1.055837778725661,19,vro_soq_exact,black76_vx_forward,VXG15,2020-12-31,vix_option
2015-03-31,2015-02-27,2015-02-27,2015-03-18,2015-03-18,VIX_call_vix_atm,VIX   150318C00016000,VX_FRONT,VX_FRONT,call,call,vix_atm,1.2,1.2,16.0,15.825,15.67,15.67,15.67,13.970000267028809,1.6999997329711913,16.525,1.0,0.0,0.0,-1.0,0.5183518942663169,0.12387828449336072,1.437290975201947,-12.431220047624402,0.8900232304408371,19,vro_soq_exact,black76_vx_forward,VXH15,2020-12-31,vix_option
2015-03-31,2015-02-27,2015-02-27,2015-03-18,2015-03-18,VIX_call_vix_call_near,VIX   150318C00017000,VX_FRONT,VX_FRONT,call,call,vix_call_near,0.9,0.9,17.0,15.825,15.67,15.67,15.67,13.970000267028809,1.6999997329711913,16.525,1.0,0.0,0.0,-1.0,0.41115496649634564,0.11368584477359432,1.403419556541094,-12.903036460858432,0.9469628833052969,19,vro_soq_exact,black76_vx_forward,VXH15,2020-12-31,vix_option
2015-03-31,2015-02-27,2015-02-27,2015-03-18,2015-03-18,VIX_call_vix_call_wing,VIX   150318C00021000,VX_FRONT,VX_FRONT,call,call,vix_call_wing,0.4,0.4,21.0,15.825,15.67,15.67,15.67,13.970000267028809,1.6999997329711913,16.525,1.0,0.0,0.0,-1.0,0.18819322449526835,0.061567519750133505,0.9736424815547448,-11.330865311074648,1.213108602200455,19,vro_soq_exact,black76_vx_forward,VXH15,2020-12-31,vix_option
2015-03-31,2015-02-27,2015-02-27,2015-03-18,2015-03-18,VIX_put_vix_atm,VIX   150318P00016000,VX_FRONT,VX_FRONT,put,put,vix_atm,1.27,1.27,16.0,15.825,15.67,15.67,15.67,13.970000267028809,1.6999997329711913,16.525,1.0,0.33000000000000007,0.33000000000000007,-0.7401574803149606,-0.48584354671248436,0.1350037003522791,1.4380622406622579,-11.415345609808119,0.8171162302256976,19,vro_soq_exact,black76_vx_forward,VXH15,2020-12-31,vix_option
2015-03-31,2015-02-27,2015-02-27,2015-03-18,2015-03-18,VIX_put_vix_put_near,VIX   150318P00015000,VX_FRONT,VX_FRONT,put,put,vix_put_near,0.65,0.65,15.0,15.825,15.67,15.67,15.67,13.970000267028809,1.6999997329711913,16.525,1.0,0.0,0.0,-1.0,-0.341376710262504,0.1408874992593005,1.3241307644068847,-9.268396233010868,0.7209584586330223,19,vro_soq_exact,black76_vx_forward,VXH15,2020-12-31,vix_option
2015-04-30,2015-03-31,2015-03-31,2015-04-15,2015-04-15,VIX_call_vix_atm,VIX   150415C00016000,VX_FRONT,VX_FRONT,call,call,vix_atm,1.23,1.23,16.0,16.275,13.81,13.81,13.81,12.84000015258789,0.9699998474121099,15.325,1.0,0.0,0.0,-1.0,0.5730388950223267,0.14228853721640738,1.292754007610614,-13.329599712289244,0.8346522895337932,15,vro_soq_exact,black76_vx_forward,VXJ15,2020-12-31,vix_option
2015-04-30,2015-03-31,2015-03-31,2015-04-15,2015-04-15,VIX_call_vix_call_near,VIX   150415C00018000,VX_FRONT,VX_FRONT,call,call,vix_call_near,0.7,0.7,18.0,16.275,13.81,13.81,13.81,12.84000015258789,0.9699998474121099,15.325,1.0,0.0,0.0,-1.0,0.348220171248784,0.11083478284503331,1.2191418474007547,-15.172160358269808,1.0105033904747707,15,vro_soq_exact,black76_vx_forward,VXJ15,2020-12-31,vix_option
2015-04-30,2015-03-31,2015-03-31,2015-04-15,2015-04-15,VIX_call_vix_call_wing,VIX   150415C00022000,VX_FRONT,VX_FRONT,call,call,vix_call_wing,0.3,0.3,22.0,16.275,13.81,13.81,13.81,12.84000015258789,0.9699998474121099,15.325,1.0,0.0,0.0,-1.0,0.1521758215485264,0.055501053886777264,0.7764501951166857,-12.062981275261665,1.2852037512689247,15,vro_soq_exact,black76_vx_forward,VXJ15,2020-12-31,vix_option
2015-04-30,2015-03-31,2015-03-31,2015-04-15,2015-04-15,VIX_put_vix_atm,VIX   150415P00016000,VX_FRONT,VX_FRONT,put,put,vix_atm,0.95,0.95,16.0,16.275,13.81,13.81,13.81,12.84000015258789,0.9699998474121099,15.325,1.0,2.1899999999999995,2.1899999999999995,1.3052631578947365,-0.426108010544655,0.14297891261243734,1.292734735062818,-13.270284212433957,0.8306097779085891,15,vro_soq_exact,black76_vx_forward,VXJ15,2020-12-31,vix_option
2015-04-30,2015-03-31,2015-03-31,2015-04-15,2015-04-15,VIX_put_vix_put_near,VIX   150415P00014500,VX_FRONT,VX_FRONT,put,put,vix_put_near,0.25,0.25,14.5,16.275,13.81,13.81,13.81,12.84000015258789,0.9699998474121099,15.325,1.0,0.6899999999999995,0.6899999999999995,1.759999999999998,-0.18632326919959827,0.1170238221985215,0.8843035896666532,-7.504724208651056,0.6942033739198001,15,vro_soq_exact,black76_vx_forward,VXJ15,2020-12-31,vix_option
2015-05-29,2015-04-30,2015-04-30,2015-05-20,2015-05-20,VIX_call_vix_atm,VIX   150520C00016000,VX_FRONT,VX_FRONT,call,call,vix_atm,1.15,1.15,16.0,15.525,12.8,12.8,12.8,12.880000114440918,-0.08000011444091726,14.875,1.0,0.0,0.0,-1.0,0.48835427308104706,0.11703990696164931,1.4476575581662707,-12.506862725147256,0.9365512014479437,20,vro_soq_exact,black76_vx_forward,VXK15,2020-12-31,vix_option
2015-05-29,2015-04-30,2015-04-30,2015-05-20,2015-05-20,VIX_call_vix_call_near,VIX   150520C00017000,VX_FRONT,VX_FRONT,call,call,vix_call_near,0.9,0.9,17.0,15.525,12.8,12.8,12.8,12.880000114440918,-0.08000011444091726,14.875,1.0,0.0,0.0,-1.0,0.3944526152391158,0.10497299218923181,1.3976531324787103,-12.982277540327626,1.0081414625188982,20,vro_soq_exact,black76_vx_forward,VXK15,2020-12-31,vix_option
2015-05-29,2015-04-30,2015-04-30,2015-05-20,2015-05-20,VIX_call_vix_call_wing,VIX   150520C00022000,VX_FRONT,VX_FRONT,call,call,vix_call_wing,0.4,0.4,22.0,15.525,12.8,12.8,12.8,12.880000114440918,-0.08000011444091726,14.875,1.0,0.0,0.0,-1.0,0.17349301280620066,0.05201051225258772,0.9312826143859835,-11.48439489798716,1.3557824733625419,20,vro_soq_exact,black76_vx_forward,VXK15,2020-12-31,vix_option
2015-05-29,2015-04-30,2015-04-30,2015-05-20,2015-05-20,VIX_put_vix_atm,VIX   150520P00015000,VX_FRONT,VX_FRONT,put,put,vix_atm,0.95,0.95,15.0,15.525,12.8,12.8,12.8,12.880000114440918,-0.08000011444091726,14.875,1.0,2.1999999999999993,2.1999999999999993,1.3157894736842097,-0.3918938128836444,0.12575531555033176,1.3951429789489895,-10.80981215670105,0.8400246254173361,20,vro_soq_exact,black76_vx_forward,VXK15,2020-12-31,vix_option
2015-05-29,2015-04-30,2015-04-30,2015-05-20,2015-05-20,VIX_put_vix_put_near,VIX   150520P00013500,VX_FRONT,VX_FRONT,put,put,vix_put_near,0.25,0.25,13.5,15.525,12.8,12.8,12.8,12.880000114440918,-0.08000011444091726,14.875,1.0,0.6999999999999993,0.6999999999999993,1.7999999999999972,-0.17206228494027442,0.10155931962015709,0.9263821030187774,-5.852024900621863,0.6906690970712845,20,vro_soq_exact,black76_vx_forward,VXK15,2020-12-31,vix_option
2015-06-30,2015-05-29,2015-05-29,2015-06-17,2015-06-17,VIX_call_vix_atm,VIX   150617C00015000,VX_FRONT,VX_FRONT,call,call,vix_atm,0.9,0.9,15.0,14.625,14.67,14.67,14.67,14.5,0.16999999999999993,15.625,1.0,0.0,0.0,-1.0,0.48066560403397723,0.14898438160845848,1.328311248378344,-10.335894912373622,0.8007678377020889,19,vro_soq_exact,black76_vx_forward,VXM15,2020-12-31,vix_option
2015-06-30,2015-05-29,2015-05-29,2015-06-17,2015-06-17,VIX_call_vix_call_near,VIX   150617C00016000,VX_FRONT,VX_FRONT,call,call,vix_call_near,0.7,0.7,16.0,14.625,14.67,14.67,14.67,14.5,0.16999999999999993,15.625,1.0,0.0,0.0,-1.0,0.37174561088817254,0.12380498965112788,1.2608891902857846,-11.1877715972697,0.9147160243679368,19,vro_soq_exact,black76_vx_forward,VXM15,2020-12-31,vix_option
2015-06-30,2015-05-29,2015-05-29,2015-06-17,2015-06-17,VIX_call_vix_call_wing,VIX   150617C00019000,VX_FRONT,VX_FRONT,call,call,vix_call_wing,0.4,0.4,19.0,14.625,14.67,14.67,14.67,14.5,0.16999999999999993,15.625,1.0,0.0,0.0,-1.0,0.20331003503292486,0.07123407580894307,0.9430028381291559,-10.772240955202175,1.18897499087307,19,vro_soq_exact,black76_vx_forward,VXM15,2020-12-31,vix_option
2015-06-30,2015-05-29,2015-05-29,2015-06-17,2015-06-17,VIX_put_vix_atm,VIX   150617P00014000,VX_FRONT,VX_FRONT,put,put,vix_atm,0.55,0.55,14.0,14.625,14.67,14.67,14.67,14.5,0.16999999999999993,15.625,1.0,0.0,0.0,-1.0,-0.35380166901933036,0.17551906880743354,1.2399281625560685,-7.639123451204378,0.634482622760943,19,vro_soq_exact,black76_vx_forward,VXM15,2020-12-31,vix_option
2015-06-30,2015-05-29,2015-05-29,2015-06-17,2015-06-17,VIX_put_vix_put_near,VIX   150617P00013500,VX_FRONT,VX_FRONT,put,put,vix_put_near,0.29,0.29,13.5,14.625,14.67,14.67,14.67,14.5,0.16999999999999993,15.625,1.0,0.0,0.0,-1.0,-0.24492064069872138,0.1679442258765662,1.0482752110428069,-5.685244915574075,0.5606060149012871,19,vro_soq_exact,black76_vx_forward,VXM15,2020-12-31,vix_option
2015-07-31,2015-06-30,2015-06-30,2015-07-22,2015-07-22,VIX_call_vix_atm,VIX   150722C00018000,VX_FRONT,VX_FRONT,call,call,vix_atm,1.9,1.9,18.0,17.325,12.82,12.82,12.82,12.119999885559082,0.7000001144409183,12.82,1.0,0.0,0.0,-1.0,0.5144772878173284,0.07252019784620418,1.6936104808221843,-18.311629051652098,1.29085734263946,22,vro_soq_exact,black76_vx_forward,VXN15,2020-12-31,vix_option
2015-07-31,2015-06-30,2015-06-30,2015-07-22,2015-07-22,VIX_call_vix_call_near,VIX   150722C00022000,VX_FRONT,VX_FRONT,call,call,vix_call_near,1.1,1.1,22.0,17.325,12.82,12.82,12.82,12.119999885559082,0.7000001144409183,12.82,1.0,0.0,0.0,-1.0,0.31972134770374294,0.05618133514427089,1.5194491691332064,-18.953482447234247,1.4949195349811712,22,vro_soq_exact,black76_vx_forward,VXN15,2020-12-31,vix_option
2015-07-31,2015-06-30,2015-06-30,2015-07-22,2015-07-22,VIX_call_vix_call_wing,VIX   150722C00030000,VX_FRONT,VX_FRONT,call,call,vix_call_wing,0.4,0.4,30.0,17.325,12.82,12.82,12.82,12.119999885559082,0.7000001144409183,12.82,1.0,0.0,0.0,-1.0,0.13140497603829615,0.029699333148815645,0.9061630703205021,-12.561909691272946,1.6864883987092683,22,vro_soq_exact,black76_vx_forward,VXN15,2020-12-31,vix_option
2015-07-31,2015-06-30,2015-06-30,2015-07-22,2015-07-22,VIX_put_vix_atm,VIX   150722P00017000,VX_FRONT,VX_FRONT,put,put,vix_atm,1.85,1.85,17.0,17.325,12.82,12.82,12.82,12.119999885559082,0.7000001144409183,12.82,1.0,4.18,4.18,1.259459459459459,-0.4157025011631458,0.07631010778161754,1.6572983029273196,-16.66294044776107,1.2004451345682008,22,vro_soq_exact,black76_vx_forward,VXN15,2020-12-31,vix_option
2015-07-31,2015-06-30,2015-06-30,2015-07-22,2015-07-22,VIX_put_vix_put_near,VIX   150722P00014000,VX_FRONT,VX_FRONT,put,put,vix_put_near,0.35,0.35,14.0,17.325,12.82,12.82,12.82,12.119999885559082,0.7000001144409183,12.82,1.0,1.1799999999999997,1.1799999999999997,2.371428571428571,-0.1504964476739812,0.058042197805590466,0.9935081513698865,-7.805344996072606,0.9461310227671275,22,vro_soq_exact,black76_vx_forward,VXN15,2020-12-31,vix_option
