Basis,N splits,N strategies,PBO,Median lambda,Rank correlation IS OOS
gross,78,6,0.19230769230769232,0.28768207245178085,0.5750915750915753
full_spread_post_cost,78,6,0.20512820512820512,0.9162907318741551,0.37802197802197807
