Expiration,Settlement source,Rows,PayoffDate,SettlementValue,VixCloseProxy,ExactMinusProxy,Headline eligible
2015-02-18,vro_soq_exact,5,2015-02-18,16.64,15.449999809265137,1.1900001907348638,yes
2015-03-18,vro_soq_exact,5,2015-03-18,15.669999999999998,13.970000267028809,1.6999997329711913,yes
2015-04-15,vro_soq_exact,5,2015-04-15,13.809999999999999,12.84000015258789,0.9699998474121099,yes
2015-05-20,vro_soq_exact,5,2015-05-20,12.8,12.880000114440918,-0.08000011444091726,yes
2015-06-17,vro_soq_exact,5,2015-06-17,14.669999999999998,14.5,0.16999999999999993,yes
2015-07-22,vro_soq_exact,5,2015-07-22,12.819999999999999,12.119999885559082,0.7000001144409183,yes
2015-08-19,vro_soq_exact,4,2015-08-19,14.78,15.25,-0.47000000000000064,yes
2015-09-16,vro_soq_exact,5,2015-09-16,22.38,21.350000381469727,1.0299996185302724,yes
2015-10-21,vro_soq_exact,5,2015-10-21,14.91,16.700000762939453,-1.790000762939453,yes
2015-11-18,vro_soq_exact,5,2015-11-18,19.16,16.850000381469727,2.3099996185302736,yes
2016-01-20,vro_soq_exact,5,2016-01-20,27.4,27.59000015258789,-0.19000015258789205,yes
2016-02-17,vro_soq_exact,5,2016-02-17,23.76,22.309999465942383,1.4500005340576188,yes
2016-03-16,vro_soq_exact,5,2016-03-16,16.22,14.989999771118164,1.2300002288818348,yes
2016-04-20,vro_soq_exact,4,2016-04-20,12.38,13.279999732971191,-0.8999997329711906,yes
2016-07-20,vro_soq_exact,5,2016-07-20,11.62,11.770000457763672,-0.15000045776367266,yes
2016-11-16,vro_soq_exact,5,2016-11-16,14.76,13.720000267028809,1.0399997329711912,yes
2016-12-21,vro_soq_exact,5,2016-12-21,11.15,11.270000457763672,-0.12000045776367152,yes
2017-01-18,vro_soq_exact,5,2017-01-18,12.52,12.479999542236328,0.04000045776367145,yes
2017-05-17,vro_soq_exact,4,2017-05-17,12.98,15.59000015258789,-2.61000015258789,yes
2017-06-21,vro_soq_exact,4,2017-06-21,10.71,10.75,-0.03999999999999915,yes
2018-02-14,vro_soq_exact,5,2018-02-14,21.87,19.260000228881836,2.609999771118165,yes
2018-03-21,vro_soq_exact,5,2018-03-21,17.76,17.860000610351562,-0.10000061035156094,yes
2018-05-16,vro_soq_exact,5,2018-05-16,13.789999999999997,13.420000076293945,0.36999992370605383,yes
2018-06-20,vro_soq_exact,5,2018-06-20,12.27,12.789999961853027,-0.5199999618530278,yes
2018-07-18,vro_soq_exact,5,2018-07-18,12.38,12.100000381469727,0.2799996185302742,yes
2018-08-22,vro_soq_exact,5,2018-08-22,12.61,12.25,0.35999999999999943,yes
