Expiration,Settlement source,Rows,PayoffDate,SettlementValue,VixCloseProxy,ExactMinusProxy,Headline eligible
2018-11-21,vro_soq_exact,5,2018-11-21,22.07,20.799999237060547,1.2700007629394534,yes
2018-12-19,vro_soq_exact,5,2018-12-19,26.2,25.579999923706055,0.6200000762939446,yes
2019-01-16,vro_soq_exact,2,2019-01-16,18.87,19.040000915527344,-0.17000091552734276,yes
2019-02-13,vro_soq_exact,8,2019-02-13,15.6,15.649999618530273,-0.04999961853027379,yes
2019-03-19,vro_soq_exact,5,2019-03-19,12.35,13.5600004196167,-1.2100004196166996,yes
2019-05-22,vro_soq_exact,5,2019-05-22,15.01,14.75,0.2599999999999998,yes
2019-06-19,vro_soq_exact,5,2019-06-19,14.8,14.329999923706055,0.470000076293946,yes
2019-07-17,vro_soq_exact,5,2019-07-17,12.69,13.970000267028809,-1.280000267028809,yes
2019-08-21,vro_soq_exact,5,2019-08-21,15.63,15.800000190734863,-0.1700001907348625,yes
2019-09-18,vro_soq_exact,5,2019-09-18,14.539999999999997,13.949999809265137,0.5900001907348624,yes
2019-10-16,vro_soq_exact,5,2019-10-16,13.779999999999998,13.680000305175781,0.09999969482421811,yes
2019-11-20,vro_soq_exact,5,2019-11-20,13.01,12.779999732971191,0.23000026702880838,yes
2019-12-18,vro_soq_exact,4,2019-12-18,11.99,12.579999923706055,-0.5899999237060545,yes
2020-01-22,vro_soq_exact,5,2020-01-22,12.62,12.90999984741211,-0.28999984741211016,yes
2020-02-19,vro_soq_exact,5,2020-02-19,14.51,14.380000114440918,0.12999988555908182,yes
2020-03-18,vro_soq_exact,5,2020-03-18,69.76,76.44999694824219,-6.689996948242182,yes
2020-04-15,vro_soq_exact,5,2020-04-15,42.51,40.84000015258789,1.6699998474121074,yes
2020-05-20,vro_soq_exact,5,2020-05-20,28.110000000000003,27.989999771118164,0.12000022888183537,yes
2020-06-17,vro_soq_exact,5,2020-06-17,33.44,33.470001220703125,-0.030001220703127274,yes
2020-07-22,vro_soq_exact,5,2020-07-22,25.45,24.31999969482422,1.1300003051757805,yes
2020-08-19,vro_soq_exact,5,2020-08-19,21.71,22.540000915527344,-0.8300009155273429,yes
2020-09-16,vro_soq_exact,5,2020-09-16,26.119999999999997,26.040000915527344,0.07999908447265724,yes
2020-10-21,vro_soq_exact,5,2020-10-21,29.07,28.649999618530273,0.42000038146972685,yes
2020-11-18,vro_soq_exact,5,2020-11-18,22.41,23.84000015258789,-1.4300001525878905,yes
2020-12-16,vro_soq_exact,5,2020-12-16,23.35,22.5,0.8500000000000014,yes
2021-01-20,vro_soq_exact,5,2021-01-20,22.59,21.579999923706055,1.0100000762939452,yes
2021-02-17,vro_soq_exact,5,2021-02-17,22.81,21.5,1.3099999999999987,yes
2021-03-17,vro_soq_exact,5,2021-03-17,20.8,19.229999542236328,1.5700004577636726,yes
2021-04-21,vro_soq_exact,5,2021-04-21,19.28,17.5,1.7800000000000011,yes
2021-05-19,vro_soq_exact,5,2021-05-19,25.21,22.18000030517578,3.0299996948242196,yes
2021-07-21,vro_soq_exact,5,2021-07-21,18.9,17.90999984741211,0.9900001525878892,yes
2021-08-18,vro_soq_exact,5,2021-08-18,18.58,21.56999969482422,-2.9899996948242205,yes
2021-09-15,vro_soq_exact,4,2021-09-15,19.79,18.18000030517578,1.609999694824218,yes
2021-10-20,vro_soq_exact,5,2021-10-20,15.35,15.489999771118164,-0.13999977111816442,yes
2021-11-17,vro_soq_exact,5,2021-11-17,16.34,17.110000610351562,-0.7700006103515626,yes
2021-12-22,vro_soq_exact,5,2021-12-22,20.83,18.6299991607666,2.2000008392333967,yes
2022-01-19,vro_soq_exact,5,2022-01-19,22.79,23.850000381469727,-1.0600003814697274,yes
2022-02-16,vro_soq_exact,5,2022-02-16,26.369999999999997,24.290000915527344,2.0799990844726572,yes
2022-03-15,vro_soq_exact,5,2022-03-15,32.28,29.829999923706055,2.4500000762939464,yes
2022-05-18,vro_soq_exact,5,2022-05-18,27.68,30.959999084472656,-3.2799990844726565,yes
2022-06-15,vro_soq_exact,5,2022-06-15,31.0,29.6200008392334,1.3799991607666016,yes
2022-07-20,vro_soq_exact,5,2022-07-20,24.37,23.8799991607666,0.49000083923339943,yes
2022-09-21,vro_soq_exact,5,2022-09-21,26.65,27.989999771118164,-1.3399997711181655,yes
2022-10-19,vro_soq_exact,5,2022-10-19,31.77,30.760000228881836,1.0099997711181636,yes
2022-11-16,vro_soq_exact,5,2022-11-16,24.93,24.110000610351562,0.8199993896484372,yes
2022-12-21,vro_soq_exact,5,2022-12-21,20.25,20.06999969482422,0.18000030517578125,yes
2023-01-18,vro_soq_exact,5,2023-01-18,19.09,20.34000015258789,-1.2500001525878908,yes
2023-02-15,vro_soq_exact,5,2023-02-15,18.69,18.229999542236328,0.46000045776367315,yes
2023-03-22,vro_soq_exact,5,2023-03-22,20.68,22.260000228881836,-1.5800002288818362,yes
2023-04-19,vro_soq_exact,5,2023-04-19,16.75,16.459999084472656,0.29000091552734375,yes
2023-05-17,vro_soq_exact,4,2023-05-17,17.12,16.8700008392334,0.24999916076660256,yes
2023-06-21,vro_soq_exact,5,2023-06-21,13.440000000000001,13.199999809265137,0.24000019073486278,yes
2023-07-19,vro_soq_exact,4,2023-07-19,13.02,13.760000228881836,-0.7400002288818364,yes
2023-08-16,vro_soq_exact,4,2023-08-16,16.28,16.780000686645508,-0.5000006866455067,yes
2023-09-20,vro_soq_exact,4,2023-09-20,13.96,15.140000343322754,-1.180000343322753,yes
2023-10-18,vro_soq_exact,5,2023-10-18,18.37,19.219999313354492,-0.8499993133544912,yes
2023-11-15,vro_soq_exact,5,2023-11-15,14.220000000000002,14.180000305175781,0.03999969482421939,yes
2023-12-20,vro_soq_exact,5,2023-12-20,12.31,13.670000076293945,-1.3600000762939448,yes
2024-01-17,vro_soq_exact,4,2024-01-17,15.13,14.789999961853027,0.34000003814697344,yes
2024-02-14,vro_soq_exact,5,2024-02-14,14.319999999999999,14.380000114440918,-0.060000114440917685,yes
2024-03-20,vro_soq_exact,5,2024-03-20,14.169999999999998,13.039999961853027,1.1300000381469726,yes
2024-05-22,vro_soq_exact,5,2024-05-22,12.0,12.289999961853027,-0.28999996185302734,yes
2024-06-18,vro_soq_exact,4,2024-06-18,12.39,12.300000190734863,0.08999980926513729,yes
2024-07-17,vro_soq_exact,4,2024-07-17,13.89,14.479999542236328,-0.5899995422363276,yes
2024-08-21,vro_soq_exact,5,2024-08-21,16.11,16.270000457763672,-0.16000045776367244,yes
2024-09-18,vro_soq_exact,5,2024-09-18,18.69,18.229999542236328,0.46000045776367315,yes
2024-10-16,vro_soq_exact,4,2024-10-16,20.97,19.579999923706055,1.3900000762939442,yes
2024-11-20,vro_soq_exact,5,2024-11-20,16.65,17.15999984741211,-0.5099998474121108,yes
2024-12-18,vro_soq_exact,5,2024-12-18,15.66,27.6200008392334,-11.960000839233398,yes
2025-01-22,vro_soq_exact,5,2025-01-22,15.529999999999998,15.100000381469727,0.4299996185302728,yes
2025-02-19,vro_soq_exact,5,2025-02-19,15.940000000000001,15.270000457763672,0.6699995422363276,yes
2025-03-18,vro_soq_exact,5,2025-03-18,21.63,21.700000762939453,-0.07000076293945412,yes
2025-05-21,vro_soq_exact,5,2025-05-21,19.12,20.8700008392334,-1.7500008392333974,yes
2025-06-18,vro_soq_exact,5,2025-06-18,20.68,20.139999389648438,0.5400006103515622,yes
2025-07-16,vro_soq_exact,5,2025-07-16,16.74,17.15999984741211,-0.41999984741211094,yes
2025-08-20,vro_soq_exact,5,2025-08-20,15.41,15.6899995803833,-0.27999958038330064,yes
2025-09-17,vro_soq_exact,5,2025-09-17,15.86,15.720000267028809,0.13999973297119084,yes
2025-10-22,vro_soq_exact,5,2025-10-22,18.7,18.600000381469727,0.09999961853027273,yes
2025-11-19,vro_soq_exact,5,2025-11-19,23.9,23.65999984741211,0.2400001525878892,yes
2025-12-17,vro_soq_exact,5,2025-12-17,16.01,17.6200008392334,-1.6100008392333969,yes
2026-01-21,vro_soq_exact,5,2026-01-21,18.82,16.899999618530273,1.9200003814697268,yes
2026-02-18,vro_soq_exact,5,2026-02-18,19.69,19.6200008392334,0.06999916076660284,yes
2026-03-18,vro_soq_exact,5,2026-03-18,22.89,25.09000015258789,-2.20000015258789,yes
2026-04-15,vro_soq_exact,5,2026-04-15,17.38,18.170000076293945,-0.7900000762939463,yes
