return_date,strategy,asset_id,estimated_contracts,capacity_contracts,capacity_ratio,capacity_status
2021-02-26,Equity-option Greek Markowitz,AMZN_put_put_near,0.17264678889970897,6.7,0.025768177447717755,pass
2021-02-26,Equity-option Greek Markowitz,AMZN_put_put_wing,0.151633895517684,4.5,0.033696421226152,pass
2021-02-26,Equity-option Greek Markowitz,GOOGL_call_atm,0.9269508540130826,2.4000000000000004,0.38622952250545106,pass
2021-02-26,Equity-option Greek Markowitz,GOOGL_put_atm,1.0514716442799403,1.0,1.0514716442799403,penalized
2021-02-26,Equity-option Greek Markowitz,GOOGL_put_put_near,1.387925703749461,1.0,1.387925703749461,penalized
2021-02-26,Equity-option Greek Markowitz,JPM_call_atm,13.416656722246671,14.200000000000001,0.9448349804399063,pass
2021-02-26,Equity-option Greek Markowitz,JPM_call_call_near,6.700631008982557,23.8,0.2815391180244772,pass
2021-02-26,Equity-option Greek Markowitz,JPM_call_put_near,94.64652128149275,14.200000000000001,6.665247977569912,penalized
2021-02-26,Equity-option Greek Markowitz,JPM_put_atm,265.0036736322361,23.1,11.472020503560003,penalized
2021-02-26,Equity-option Greek Markowitz,JPM_put_put_near,25.23164508052417,250.70000000000002,0.10064477495223043,pass
2021-02-26,Equity-option Greek Markowitz,META_call_call_near,41.03488534053467,78.30000000000001,0.5240726097130864,pass
2021-02-26,Equity-option Greek Markowitz,META_call_put_near,22.452238761745264,7.800000000000001,2.8784921489417004,penalized
2021-02-26,Equity-option Greek Markowitz,META_call_put_wing,33.14387542078216,3.0,11.047958473594052,penalized
2021-02-26,Equity-option Greek Markowitz,META_put_call_near,32.25102234806166,59.400000000000006,0.5429465041761222,pass
2021-02-26,Equity-option Greek Markowitz,META_put_put_near,87.29738279577302,96.5,0.9046360911479069,pass
2021-02-26,Equity-option Greek Markowitz,MSFT_call_atm,3.1131198631369084,131.6,0.023655926011678634,pass
2021-02-26,Equity-option Greek Markowitz,MSFT_call_call_near,45.207809120494026,82.7,0.546648236039831,pass
2021-02-26,Equity-option Greek Markowitz,MSFT_call_put_near,28.63885778283469,115.9,0.2470997220261837,pass
2021-02-26,Equity-option Greek Markowitz,MSFT_put_atm,1.733919002682559,26.8,0.06469847024934922,pass
2021-02-26,Equity-option Greek Markowitz,MSFT_put_put_near,36.23339037246412,371.5,0.09753267933368538,pass
2021-02-26,Equity-option Greek Markowitz,NVDA_call_atm,0.6587668172552751,265.1,0.0024849747916079784,pass
2021-02-26,Equity-option Greek Markowitz,NVDA_call_call_near,0.8047381800680278,32.300000000000004,0.024914494738948224,pass
2021-02-26,Equity-option Greek Markowitz,NVDA_call_put_near,37.78915824096092,260.6,0.14500828181489225,pass
2021-02-26,Equity-option Greek Markowitz,NVDA_put_atm,4.938362427541402,42.1,0.1173007702503896,pass
2021-02-26,Equity-option Greek Markowitz,NVDA_put_call_near,2.5951540785611895,9.600000000000001,0.2703285498501239,pass
2021-02-26,Equity-option Greek Markowitz,NVDA_put_put_near,9.715893746238946,11.4,0.8522713812490303,pass
2021-02-26,Equity-option Greek Markowitz,NVDA_put_put_wing,3.3431296502111683,1.3,2.5716381924701293,penalized
2021-02-26,Equity-option Greek Markowitz,TSLA_call_atm,5.960405460745459,82.7,0.07207261742134775,pass
