fold_id,seconds,status
kfold_00,10.959501415956765,ok
kfold_01,30.38435570895672,ok
kfold_02,10.882340790936723,ok
kfold_03,10.923787083942443,ok
kfold_04,30.21652758307755,ok
kfold_05,10.979600041173398,ok
kfold_06,11.398851916892454,ok
kfold_07,30.329109959071502,ok
kfold_08,30.264528875006363,ok
kfold_09,11.21718924981542,ok
kfold_10,29.84292716695927,ok
kfold_11,9.656827957835048,ok
cpcv_00_01,11.767128417035565,ok
cpcv_00_02,11.581791749922559,ok
cpcv_00_03,11.335593124851584,ok
cpcv_00_04,30.594064249889925,ok
cpcv_00_05,11.265235417056829,ok
cpcv_00_06,30.762589124962687,ok
cpcv_00_07,31.14885020791553,ok
cpcv_00_08,31.047897292068228,ok
cpcv_00_09,11.471435999963433,ok
cpcv_00_10,11.460269750095904,ok
cpcv_00_11,10.41653708415106,ok
cpcv_01_02,11.479965250007808,ok
cpcv_01_03,30.603375541977584,ok
cpcv_01_04,30.757043707882985,ok
cpcv_01_05,11.610336875077337,ok
cpcv_01_06,31.242409917060286,ok
cpcv_01_07,31.40222566598095,ok
cpcv_01_08,30.839873917168006,ok
cpcv_01_09,30.75619695801288,ok
cpcv_01_10,11.705784332938492,ok
cpcv_01_11,10.299758167006075,ok
cpcv_02_03,11.192971042124555,ok
cpcv_02_04,11.746063374914229,ok
cpcv_02_05,11.298867540899664,ok
cpcv_02_06,11.696418541949242,ok
cpcv_02_07,30.567236833041534,ok
cpcv_02_08,11.904294249834493,ok
cpcv_02_09,12.321570708183572,ok
cpcv_02_10,13.065069457981735,ok
cpcv_02_11,10.02049266686663,ok
cpcv_03_04,11.200615208828822,ok
cpcv_03_05,11.058807207969949,ok
cpcv_03_06,11.607591916806996,ok
cpcv_03_07,31.642430584179237,ok
cpcv_03_08,30.391716832993552,ok
cpcv_03_09,11.546592334052548,ok
cpcv_03_10,30.29308483400382,ok
cpcv_03_11,10.311206334037706,ok
cpcv_04_05,30.228920333087444,ok
cpcv_04_06,30.712647542124614,ok
cpcv_04_07,21.51331204199232,ok
cpcv_04_08,11.874575583962724,ok
cpcv_04_09,11.757064916891977,ok
cpcv_04_10,30.8101037919987,ok
cpcv_04_11,10.549651332898065,ok
cpcv_05_06,11.454680957831442,ok
cpcv_05_07,29.842024750076234,ok
cpcv_05_08,11.64310900005512,ok
cpcv_05_09,11.499107332900167,ok
cpcv_05_10,30.16714095789939,ok
cpcv_05_11,9.910795709118247,ok
cpcv_06_07,30.654334832914174,ok
cpcv_06_08,30.93044187501073,ok
cpcv_06_09,11.818129749968648,ok
cpcv_06_10,30.778543999884278,ok
cpcv_06_11,10.251980291912332,ok
cpcv_07_08,30.207775457995012,ok
cpcv_07_09,28.44800137495622,ok
cpcv_07_10,20.99090683297254,ok
cpcv_07_11,10.330757916904986,ok
cpcv_08_09,11.355024750111625,ok
cpcv_08_10,30.53110916703008,ok
cpcv_08_11,10.378195500001311,ok
cpcv_09_10,29.940519124967977,ok
cpcv_09_11,9.998554874910042,ok
cpcv_10_11,9.99322395795025,ok
