return_date,Beta/delta-neutral + VIX::full_spread,Beta/delta-neutral + VIX::half_spread,Beta/delta-neutral + VIX::mid,Cost-aware Sortino + VIX::full_spread,Cost-aware Sortino + VIX::half_spread,Cost-aware Sortino + VIX::mid,Equal premium::full_spread,Equal premium::half_spread,Equal premium::mid,Equal risk::full_spread,Equal risk::half_spread,Equal risk::mid,Equity-option Greek Markowitz::full_spread,Equity-option Greek Markowitz::half_spread,Equity-option Greek Markowitz::mid,Greek Markowitz + VIX::full_spread,Greek Markowitz + VIX::half_spread,Greek Markowitz + VIX::mid,VIX hedge sleeve::full_spread,VIX hedge sleeve::half_spread,VIX hedge sleeve::mid
2021-01-29,0.05329478866729403,0.058721342345515105,0.06414789602373616,2.4085447808236515,2.416410581308665,2.4242763817936783,-0.3779434561906714,-0.3611837602169664,-0.34442406424326133,-0.3817420313366265,-0.3662350112777091,-0.35072799121879167,0.036262604154080925,0.037654333781929165,0.03904606340977741,0.016147308024594725,0.01968981009656502,0.023232312168535333,0.0,0.0,0.0
2021-02-26,0.10963757951458014,0.11906268535323677,0.1284877911918934,-0.22011452951544855,-0.1991930845502385,-0.17827163958502842,-0.4052139323292884,-0.38541432053794855,-0.3656147087466088,-0.36954560992655394,-0.3521016404270574,-0.3346576709275609,0.10647525752506071,0.1111573402385795,0.1158394229520983,0.08400536825127106,0.09183509176715679,0.09966481528304252,-1.1630214099350942,-1.0880214099350942,-1.013021409935094
2021-03-31,-0.10329483087613071,-0.0875362682485689,-0.07177770562100708,-0.7564191959159015,-0.7448621549332621,-0.7333051139506227,-0.5548381276889012,-0.5342932399970141,-0.513748352305127,-0.35370308286387003,-0.3365791940455902,-0.3194553052273104,-0.07690699438177465,-0.07274458111947685,-0.06858216785717904,-0.014772225133825926,-0.008557014710718106,-0.0023418042876102844,-1.1634456339551231,-1.0884456339551232,-1.013445633955123
2021-04-30,0.05363693616139178,0.06546800495706454,0.0772990737527373,0.22690673430662398,0.24004315403661922,0.25317957376661515,0.512076774860127,0.5324860022643779,0.5528952296686284,0.9124026949759241,0.9300856039492108,0.9477685129224976,0.06172507110543648,0.06269408311680727,0.06366309512817807,0.04557665066370879,0.05230792620656137,0.05903920174941394,0.0,0.0,0.0
2021-06-30,-0.05452480791317208,-0.047399573000778086,-0.04027433808838409,-0.9468937568097945,-0.9371399493128549,-0.9273861418159153,0.09411835666846062,0.11112383793036065,0.12812931919226073,0.05087181856662688,0.06769347544289471,0.08451513231916252,-0.007709733296332201,-0.006660769999731325,-0.005611806703130465,-0.02058535270285777,-0.012794970864547268,-0.005004589026236766,1.2070727272727275,1.2820727272727273,1.3570727272727272
2021-07-30,0.07670383812058822,0.0811719781491377,0.08564011817768716,-0.8695484694876268,-0.8610600659729564,-0.8525716624582862,-0.11212463522346912,-0.09339803634516725,-0.07467143746686544,-0.11598916647737907,-0.1002438787579957,-0.08449859103861238,-0.05177317367834447,-0.04961926928796747,-0.04746536489759047,-0.03918882766271494,-0.03558114421525938,-0.03197346076780384,0.0,0.0,0.0
2021-08-31,-0.029916997028384736,-0.02424212026899093,-0.01856724350959711,-0.7126144384515826,-0.7021770113693017,-0.6917395842870211,-0.433646718032666,-0.41376425754877527,-0.39388179706488446,-0.40192087427316686,-0.386115955327775,-0.37031103638238316,-0.06068341552786541,-0.05947534640993969,-0.058267277292013996,-0.06642858849886042,-0.061981605721093215,-0.057534622943325994,0.0,0.0,0.0
2021-09-30,0.006507498045741279,0.009297224501767874,0.012086950957794461,0.22140109959752183,0.23160314123795686,0.2418051828783914,-0.6268583080772911,-0.6100493230446314,-0.5932403380119713,-0.5344483107996555,-0.519584822359261,-0.5047213339188664,-0.019711103640734706,-0.0185129519132171,-0.017314800185699496,-0.005583704997301018,-0.002781963836082896,1.9777325135225316e-05,0.0,0.0,0.0
2021-10-29,-0.0724228860197882,-0.05999502497333358,-0.047567163926878965,0.36346203904555724,0.3960000000000053,0.4285379609544509,-0.049624208566936515,-0.03024593161982046,-0.010867654672704456,-0.13574686485961943,-0.11622234315723573,-0.09669782145485202,0.02830487796867486,0.029653317806849593,0.0310017576450243,-0.12234058551496507,-0.10995069980022201,-0.09756081408547897,0.0,0.0,0.0
2021-11-30,-0.060093991844384444,-0.05112474448471458,-0.04215549712504478,-0.6306389454035228,-0.6220316508222813,-0.6134243562410386,0.7024456732813616,0.7179847110250295,0.7335237487686972,0.4447336646676327,0.459182087784954,0.47363051090227537,0.05102849722622815,0.05219489148733801,0.053361285748447874,-0.02468640664520405,-0.014670041574498308,-0.004653676503792635,0.0,0.0,0.0
