Strategy,Sharpe Realized,Resampled P05,Resampled P50,Resampled P95,Repriced P05,Repriced P50,Repriced P95
Beta/delta-neutral + VIX,1.4135317239912606,0.7369543740747321,1.4275527934414667,2.158905548116827,-3.747978574371805,-1.0729940249999244,0.573112834047288
Cost-aware Sortino + VIX,1.0144053186224946,0.43112264796523664,1.0057232763868975,1.573730985470202,-1.7119147425029397,0.8286252016086892,1.9487358095977136
Delta-matched equities,1.1763702732937484,0.4177989889896193,1.2154813789399777,2.1831270105999803,,,
Equal premium,-0.02955676336526383,-0.6930706093660816,-0.0328044457098828,0.4713589991392305,-4.025624001155359,0.6885885687862243,1.7944141691755031
Equal risk,0.08183086586465663,-0.6024652349734874,0.08532139220105843,0.6687447251099143,-5.142237617664811,0.4807222211547578,1.7602973803163906
Equity-option Greek Markowitz,0.8421194565895301,0.08496685715517055,0.8640545417285963,1.6565146957511154,-2.6678383997878323,-0.5413517867121335,1.0952849530319553
Greek Markowitz + VIX,1.374388539995489,0.6432784947000147,1.3906989562981105,2.2363046067103953,-3.752167366067307,-0.9187212134417769,0.8092799833174443
Underlying Markowitz,0.9088833301008382,0.13348581855170533,0.9393455811826765,1.7631496289230757,,,
VIX hedge sleeve,-6.429184989935395,-9.234219561033589,-6.399613209323359,-4.992673980232725,-4.690928186324804,-0.02240681042415698,1.3122949910893638
