Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,block_length
VIX hedge sleeve,Full-spread post-cost,704,circular_block_bootstrap,60,ok,60,-1.0,1.6054719337217904,-5.513029941490566,-2.975847966498997,,1.109221680251279,1.1304219643743796,-0.0,6
VIX hedge sleeve,Full-spread post-cost,705,circular_block_bootstrap,60,ok,60,-1.0,1.3864706879372968,-6.718639864119917,-3.1058605180953425,-1.0,1.0582844082013048,1.1106665730238332,0.0,6
VIX hedge sleeve,Full-spread post-cost,706,circular_block_bootstrap,60,ok,60,-1.0,1.1147636667498233,-9.327154480020237,-3.2687108968016725,-1.0,1.0583986254295532,1.0849645577979667,-0.0,6
VIX hedge sleeve,Full-spread post-cost,707,circular_block_bootstrap,60,ok,60,-1.0,1.3243829783959606,-7.441013204182374,-3.159675724736723,-1.0,1.0609256310950126,1.1269746348813052,-0.0,6
VIX hedge sleeve,Full-spread post-cost,708,circular_block_bootstrap,60,ok,60,-1.0,1.4722410734004667,-6.715571812007433,-3.1193283681161037,,1.108939989600306,1.1287024691663996,-0.0,6
VIX hedge sleeve,Full-spread post-cost,709,circular_block_bootstrap,60,ok,60,-1.0,1.618551882309004,-5.593279735623604,-3.0018310499720675,-1.0090366764221381,1.109221680251279,1.146721687154737,0.0,6
VIX hedge sleeve,Full-spread post-cost,710,circular_block_bootstrap,60,ok,60,-1.0,1.3635934007569592,-6.943176961387162,-3.1339227743152076,0.0,1.108939989600306,1.1287024691663996,0.0,6
VIX hedge sleeve,Full-spread post-cost,711,circular_block_bootstrap,60,ok,60,-1.0,1.6391121070644312,-5.279921801247464,-2.9514991769484804,-1.0,1.1141222415940224,1.1141222415940224,-0.0,6
VIX hedge sleeve,Full-spread post-cost,712,circular_block_bootstrap,60,ok,60,-1.0,1.2069887296624493,-8.333867145394722,-3.2152869117802854,,1.1089387387387388,1.1237552822516486,-0.0,6
VIX hedge sleeve,Full-spread post-cost,713,circular_block_bootstrap,60,ok,60,-1.0,1.2847945867766595,-7.572553400765925,-3.1571963648209196,-1.0,1.0609256310950126,1.1106665730238332,-0.0,6
VIX hedge sleeve,Full-spread post-cost,714,circular_block_bootstrap,60,ok,60,-1.0,1.645109896719273,-5.491642067405042,-2.988115405806371,-1.0719624325975046,1.109221680251279,1.1304219643743796,-0.0,6
VIX hedge sleeve,Full-spread post-cost,715,circular_block_bootstrap,60,ok,60,-1.0,1.2293633573181306,-8.001395791131218,-3.203074672766349,-1.0,1.0586797764431097,1.1123944073089278,0.0,6
VIX hedge sleeve,Full-spread post-cost,716,circular_block_bootstrap,60,ok,60,-1.0,1.3668992754034852,-6.986485724983377,-3.1278123132290228,,1.0609256310950126,1.1089470778158532,0.0,6
VIX hedge sleeve,Full-spread post-cost,717,circular_block_bootstrap,60,ok,60,-1.0,1.545184672968864,-5.866349515848815,-3.0295991913067937,-1.0087245912579244,1.0561527707776506,1.0955477028725327,0.0,6
VIX hedge sleeve,Full-spread post-cost,718,circular_block_bootstrap,60,ok,60,-1.0,1.5786343414165263,-5.823342331168967,-3.0164799080244036,,1.109221680251279,1.1304219643743796,0.0,6
VIX hedge sleeve,Full-spread post-cost,719,circular_block_bootstrap,60,ok,60,-1.0,1.5338541932383665,-6.127628848068979,-3.0575965349062377,,1.0558609112709831,1.0879135799436253,-0.0,6
VIX hedge sleeve,Full-spread post-cost,720,circular_block_bootstrap,60,ok,60,-1.0,1.3541540997850856,-7.177270454191473,-3.1377908188508186,,1.0609256310950126,1.1269746348813052,-0.0,6
VIX hedge sleeve,Full-spread post-cost,721,circular_block_bootstrap,60,ok,60,-1.0,1.5698301003369604,-5.60471908213983,-3.0039369048253817,,1.0,1.0020623361823362,-0.0,6
VIX hedge sleeve,Full-spread post-cost,722,circular_block_bootstrap,60,ok,60,-1.0,1.5001782677583242,-6.043768372261785,-3.0350274148088374,-1.0,1.058514802644371,1.1089387387387388,-0.0,6
VIX hedge sleeve,Full-spread post-cost,723,circular_block_bootstrap,60,ok,60,-1.0,1.6266650508563925,-5.374565005810092,-2.9430092435618933,-1.0719624325975046,1.1089387387387388,1.118816434414012,-0.0,6
VIX hedge sleeve,Full-spread post-cost,724,circular_block_bootstrap,60,ok,60,-1.0,1.3494613631653984,-7.348383258717216,-3.160607264875577,,1.109221680251279,1.146721687154737,0.0,6
VIX hedge sleeve,Full-spread post-cost,725,circular_block_bootstrap,60,ok,60,-1.0,0.8570162199418182,-12.779564291021417,-3.3521181648739264,,1.0586797764431097,1.1269746348813052,-0.0,6
VIX hedge sleeve,Full-spread post-cost,726,circular_block_bootstrap,60,ok,60,-1.0,1.6748645644969982,-5.279291291082932,-2.9409017130632806,0.0,1.108939989600306,1.1269829739584194,-0.0,6
VIX hedge sleeve,Full-spread post-cost,727,circular_block_bootstrap,60,ok,60,-1.0,1.3225471961317448,-7.001781857661562,-3.131631816011779,-1.0,1.0,1.0003115925449257,-0.0,6
VIX hedge sleeve,Full-spread post-cost,728,circular_block_bootstrap,60,ok,60,-1.0,1.506004140687129,-6.172552133979639,-3.0630079760978237,0.0,1.108963755970082,1.12376779086732,-0.0,6
VIX hedge sleeve,Full-spread post-cost,729,circular_block_bootstrap,60,ok,60,-1.0,1.430601454154451,-6.832000271492977,-3.11999354990477,-1.0,1.0560345679012346,1.0824866533199868,0.0,6
VIX hedge sleeve,Full-spread post-cost,730,circular_block_bootstrap,60,ok,60,-1.0,1.764171320195795,-4.949368945124569,-2.8910600750247526,-1.0,1.108963755970082,1.135992582952588,-0.0,6
VIX hedge sleeve,Full-spread post-cost,731,circular_block_bootstrap,60,ok,60,-1.0,1.4782512317837326,-6.690169129383947,-3.104794651494213,,1.1116666386683327,1.1630214099350942,0.0,6
VIX hedge sleeve,Full-spread post-cost,732,circular_block_bootstrap,60,ok,60,-1.0,1.5319945665526722,-6.074337363129322,-3.047689685845879,,1.1089387387387388,1.1110121398808521,0.0,6
VIX hedge sleeve,Full-spread post-cost,733,circular_block_bootstrap,60,ok,60,-1.0,1.5814673266821895,-5.765302649028978,-3.0090854375455867,,1.108939989600306,1.1269829739584194,0.0,6
