snap_date,Equity-option Greek Markowitz::mid_repaired,Greek Markowitz + VIX::mid_repaired,Beta/delta-neutral + VIX::mid_repaired,Cost-aware Sortino + VIX::mid_repaired,Equal premium::mid_repaired,Equal risk::mid_repaired,VIX hedge sleeve::mid_repaired,Equity-option Greek Markowitz::half_spread_repaired,Greek Markowitz + VIX::half_spread_repaired,Beta/delta-neutral + VIX::half_spread_repaired,Cost-aware Sortino + VIX::half_spread_repaired,Equal premium::half_spread_repaired,Equal risk::half_spread_repaired,VIX hedge sleeve::half_spread_repaired,Equity-option Greek Markowitz::full_spread_repaired,Greek Markowitz + VIX::full_spread_repaired,Beta/delta-neutral + VIX::full_spread_repaired,Cost-aware Sortino + VIX::full_spread_repaired,Equal premium::full_spread_repaired,Equal risk::full_spread_repaired,VIX hedge sleeve::full_spread_repaired
2021-01-29,0.0010187640420190602,0.048549261235846713,0.13045825700614022,0.9504084754139849,-0.22423447520198153,-0.16188887873069277,-0.48219500039999996,-0.002829760582479454,0.03263500080507767,0.11290755347600319,0.9443255418930522,-0.23706894057533123,-0.17228277516857346,-0.5176586678999999,-0.006678285206977969,0.016720740374308624,0.09535684994586617,0.9382426083721194,-0.24990340594868093,-0.18267667160645415,-0.5531223354000001
2021-02-26,0.25005956038896515,0.07776344180776296,0.07936605316199036,-0.18679180236937398,-0.20659120930427793,-0.19495284175163963,-1.013021409935094,0.2408133811379151,0.06092659450877358,0.05950569796302755,-0.20785828077289942,-0.22313663916748716,-0.20859021666922456,-1.0880214099350942,0.23156720188686494,0.0440897472097842,0.03964534276406475,-0.22892475917642485,-0.23968206903069633,-0.22222759158680944,-1.1630214099350942
2021-03-31,-0.07295609212513418,-0.23563741215462342,-0.20189473171233496,-0.29667006155518616,-0.3899783495352419,-0.266438994114225,-0.9103001126367486,-0.07821308802089313,-0.25475139241427885,-0.22173629523616362,-0.3135762073457078,-0.40617340756988096,-0.279393454765987,-0.9775632376367486,-0.08347008391665209,-0.27386537267393435,-0.24157785875999227,-0.3304823531362293,-0.42236846560452007,-0.29234791541774896,-1.0448263626367487
2021-04-30,0.09066691330722948,0.2120828726637339,0.15883497288518575,0.7782188483252739,0.6996019682153354,0.4841361075311189,-0.36711749640000013,0.08813163754711945,0.19445538166200535,0.14141452952727254,0.7607120554386597,0.6862531569566377,0.4738441688333511,-0.3938982939,0.08559636178700941,0.1768278906602768,0.12399408616935931,0.7432052625520456,0.6729043456979398,0.46355223013558333,-0.42067909140000004
2021-06-30,-0.07853587408221416,-0.041247859576991314,-0.09517255881663225,-0.38383937159749765,-0.029180637205114823,-0.014554167847052449,0.5913497521575759,-0.08185570885304591,-0.059472079481724394,-0.11304139316756634,-0.38706832360980653,-0.0417960523686178,-0.02465711370443635,0.5374750071575759,-0.08517554362387766,-0.07769629938645747,-0.1309102275185004,-0.3902972756221154,-0.05441146753212081,-0.03476005956182025,0.4836002621575759
2021-07-30,-0.05877864335067331,0.09026710942100427,0.06128520263608644,-0.46189856392961887,-0.10057662028899911,-0.09302868358147766,-0.2842641196000001,-0.06231297982929566,0.07685606204326487,0.04600790220829149,-0.4664973344097169,-0.11159049835974294,-0.10247563164732411,-0.3082138696000001,-0.06584731630791801,0.06344501466552546,0.03073060178049654,-0.47109610488981507,-0.12260437643048677,-0.11192257971317056,-0.33216361960000007
2021-08-31,-0.05300713519182238,-0.025897839076153333,-0.04381136923588005,-0.24344973347591617,-0.2724579659243554,-0.21315934537676817,-0.2031969172000001,-0.05647674190077751,-0.0388914019560619,-0.05878253604274008,-0.2506147714358503,-0.2857453435442801,-0.22378448182256283,-0.21821923720000003,-0.059946348609732636,-0.05188496483597048,-0.07375370284960014,-0.2577798093957844,-0.2990327211642048,-0.2344096182683575,-0.23324155720000017
2021-09-30,-0.03152575688931529,0.05143296705209093,0.09579345227798108,-0.07378035668703387,-0.3681314322062763,-0.2960171241702825,-0.12259442919999997,-0.033772247412501996,0.03889286330683236,0.0823112613678364,-0.07753636879455739,-0.37790061858931157,-0.3046471548659227,-0.1315031916999999,-0.0360187379356887,0.026352759561573777,0.06882907045769172,-0.08129238090208091,-0.3876698049723468,-0.3132771855615629,-0.14041195419999997
2021-10-29,0.1264331657836324,-0.11467442550401571,-0.04422710945291124,-0.4452047442011716,-0.05556592691966113,-0.05856065973030117,-0.6273286688000003,0.12342901507845856,-0.13263948275691856,-0.062067356463912746,-0.46166905384666257,-0.06810823240640189,-0.06842526423930814,-0.6737651438000002,0.12042486437328474,-0.1506045400098214,-0.07990760347491425,-0.4781333634921535,-0.08065053789314262,-0.07828986874831513,-0.7202016188000001
2021-11-30,0.29582925155834844,0.23147942576987574,0.20342834526972675,1.1456912695202752,0.372632652333172,0.27374669038780597,-0.18330101200000004,0.29231641429949834,0.2133078513222582,0.18554200429217205,1.1410509359960965,0.3598037233378563,0.263462236396133,-0.19676942200000003,0.28880357704064813,0.1951362768746408,0.16765566331461745,1.1364106024719178,0.34697479434254064,0.25317778240445993,-0.210237832
