,Equity-option Greek Markowitz,Greek Markowitz + VIX,Beta/delta-neutral + VIX,Cost-aware Sortino + VIX,Equal premium,Equal risk,VIX hedge sleeve
JPM_call_call_near,-0.0011726104265719476,-0.0024733325258436373,-0.005840438685339265,0.0,0.018518518518518517,0.0060366595466721925,0.0
JPM_call_put_near,0.09890561473915992,0.10044895135546633,0.07791861666792431,0.0,0.018518518518518517,0.040156998333907803,0.0
JPM_put_atm,0.0696959661652781,0.04456563747542493,0.05772379754645103,0.0,0.018518518518518517,0.021581391912957822,0.0
JPM_put_put_near,0.003910904987481247,0.0047910333295610565,0.0069801946148646404,0.1408654084561378,0.018518518518518517,0.013697205251828255,0.0
META_call_atm,-1.3332758875937443e-16,3.8831838111146915e-17,-4.515331139333094e-16,0.0,0.018518518518518517,0.019010561811865587,0.0
META_call_call_near,-0.011571837666030777,-0.009123768742342836,-0.01056644336549303,0.0,0.018518518518518517,0.0060193865239640335,0.0
META_call_put_near,0.05276276109010137,0.03780699933354233,0.034614391919468177,0.0,0.018518518518518517,0.02838725997308305,0.0
META_call_put_wing,-0.09624981422195138,0.011695521822499524,9.326302710690123e-17,0.0,0.018518518518518517,0.06556576981168385,0.0
META_put_atm,0.0,-0.005395169124624371,-0.00037126171826622195,0.0,0.018518518518518517,0.021662375978355228,0.0
META_put_call_near,0.06588883865708997,0.043921071273213305,0.06744512810374327,0.0,0.018518518518518517,0.032926895427067795,0.0
META_put_put_near,-0.03317300546239375,-0.006438383615283549,-0.006236445067321601,0.0,0.018518518518518517,0.018672858122164623,0.0
MSFT_call_atm,0.0015876911301998232,0.0,0.0008645951293498238,0.0,0.018518518518518517,0.008053661762864261,0.0
MSFT_call_call_near,-0.016681681565462295,-0.016538239000791353,-0.019725993696150104,0.0,0.018518518518518517,0.009856140293894766,0.0
MSFT_call_put_near,0.07216992161274342,0.052908546600844854,0.025241660820818412,0.0,0.018518518518518517,0.03325088274761564,0.0
MSFT_put_atm,-0.0011097081617168379,-0.0018987959985813363,0.006919157105098351,0.0,0.018518518518518517,0.012087742381370238,0.0
MSFT_put_put_near,-0.005869809240339187,1.4810894144058437e-17,0.002400591061356302,0.0,0.018518518518518517,0.01957572874037636,0.0
NVDA_call_atm,0.001573135159605597,0.002769610246932045,0.003387487671650854,0.1291345915438622,0.018518518518518517,0.014315727449136789,0.0
NVDA_call_call_near,0.0012714863245074839,0.0009748324620661752,0.0004769983359609362,0.18,0.018518518518518517,0.005756748328148864,0.0
NVDA_call_put_near,0.13471834912902567,0.10035336829301561,0.12234696217710872,0.0,0.018518518518518517,0.03162220803893235,0.0
NVDA_call_put_wing,0.020216686484564095,0.030516703284257547,0.04018498619640625,0.0,0.018518518518518517,0.02449245759896161,0.0
NVDA_put_atm,0.008528551912364,0.0011185939086212826,0.0035209130727325982,0.0,0.018518518518518517,0.019412829826725563,0.0
NVDA_put_call_near,0.011346013631469521,0.028594246206180892,0.03214899871138022,0.0,0.018518518518518517,0.026323775930388277,0.0
NVDA_put_put_near,0.012698673126334301,0.016145514899740396,0.017883000607102587,0.0,0.018518518518518517,0.01702915081072864,0.0
NVDA_put_put_wing,-0.0010029388950633506,-0.000951333817357374,-0.0011615796376614937,0.0,0.018518518518518517,0.00142443503048118,0.0
TSLA_call_atm,0.029951037440245933,0.027947207724334157,0.029715341549049597,0.16999999999999998,0.018518518518518517,0.01880113013431927,0.0
TSLA_call_call_near,-0.0018198828561768767,-0.0030101010030377266,3.512822850706932e-15,0.18,0.018518518518518517,0.007703379361682336,0.0
TSLA_call_put_near,0.0545919384393931,0.04917148366664543,0.04654476240083534,0.0,0.018518518518518517,0.029186292384025425,0.0
TSLA_put_atm,0.025502411799506554,0.010035481264536404,0.010843958310357563,0.0,0.018518518518518517,0.02912075879899956,0.0
TSLA_put_call_near,-0.004796918960779737,6.735980550616513e-17,0.0013884272645401613,0.0,0.018518518518518517,0.01337644263811596,0.0
TSLA_put_put_near,0.0043598276750343706,2.603909363252219e-17,8.299407190694491e-16,0.0,0.018518518518518517,0.018340162878272396,0.0
TSLA_put_put_wing,-0.024755053224238804,-0.0036875764455416562,-0.004966347234999504,0.0,0.018518518518518517,0.015494603248867244,0.0
VIX_call_vix_atm,,-0.00011118027675649705,-0.016657874310940145,0.0,0.018518518518518517,0.013284481261715352,0.3333333333333333
VIX_call_vix_call_near,,-0.026674961687935757,-0.035972123231356366,-0.020000000000000018,0.018518518518518517,0.010636970618503341,0.3333333333333333
VIX_call_vix_call_wing,,0.002522928150950428,0.0037873509214968507,0.0,0.018518518518518517,0.007125683923973964,0.3333333333333333
VIX_put_vix_atm,,-0.15909602007881352,-0.12921815988280327,0.0,0.018518518518518517,0.02818922560643438,0.0
VIX_put_vix_put_near,,0.011594909805542113,0.014364491653395942,-0.18,0.018518518518518517,0.006240770571732478,0.0
