,Equity-option Greek Markowitz,Greek Markowitz + VIX,Beta/delta-neutral + VIX,Cost-aware Sortino + VIX,Equal premium,Equal risk,VIX hedge sleeve
AAPL_call_atm,-0.003992964698882109,-0.0018692733602544258,-0.003925918635395058,0.0,0.018518518518518517,0.008046355870623155,0.0
AAPL_call_call_near,-0.003932518064634854,-0.002568436494421379,-0.003326464758839557,0.0,0.018518518518518517,0.005371398220492294,0.0
AAPL_call_put_near,0.031884204035193736,0.040024716459304575,0.03127006815479442,0.0,0.018518518518518517,0.03054885179011384,0.0
AAPL_put_atm,0.013368695376127039,0.0030396588181679667,0.0074985778145331295,0.0,0.018518518518518517,0.01590460692689356,0.0
AAPL_put_call_near,0.00928361720583494,0.016150612667976787,0.03453229013863126,0.0,0.018518518518518517,0.035428230140943213,0.0
AAPL_put_put_near,0.007380511407037293,0.0014426801424270953,0.000264390658545111,0.0,0.018518518518518517,0.013441794348083584,0.0
AMZN_call_atm,0.001178778035457045,-0.0006976197851180558,-0.000503359829198577,0.0,0.018518518518518517,0.0053577720577132415,0.0
AMZN_call_call_near,-1.210412170407732e-16,-0.004973619049404871,-0.008157198689735327,0.0,0.018518518518518517,0.01128963742624857,0.0
AMZN_call_put_near,-9.36899408387806e-17,0.07940089250624269,0.06151182413988663,0.0,0.018518518518518517,0.04667750673508764,0.0
AMZN_put_atm,3.221689403849664e-17,0.0,0.0012846655206951345,0.0,0.018518518518518517,0.010812126779447498,0.0
AMZN_put_put_near,-0.0015306864303848196,0.0,-1.942237933496618e-16,0.0,0.018518518518518517,0.00906222468552192,0.0
AMZN_put_put_wing,-0.0004973591772980035,0.004033360656931384,0.0031318460756665023,0.0,0.018518518518518517,0.010394637168092361,0.0
GOOGL_call_atm,0.008342557686117743,0.004977973497830857,2.9438539739338543e-16,0.0,0.018518518518518517,0.009017543885460706,0.0
GOOGL_call_call_near,5.298529610244237e-17,-0.0002519969744781752,-0.0006115482122180172,0.0,0.018518518518518517,0.004329831500864806,0.0
GOOGL_call_put_near,-0.028897542663797227,6.336430158636168e-17,-0.0006714369191419547,0.0,0.018518518518518517,0.03427629960324548,0.0
GOOGL_put_atm,-0.008781891173026062,-0.0038399126293722466,-0.0020874061251275108,0.0,0.018518518518518517,0.015361876771037588,0.0
GOOGL_put_put_near,-0.004163777111248383,-0.0004002793900355908,4.022868206196315e-16,0.0,0.018518518518518517,0.013672018864549254,0.0
JPM_call_atm,0.008881826750127296,0.02304746414774883,0.0038045256561417967,0.0,0.018518518518518517,0.0265885341657648,0.0
