return_date,strategy,scenario,premium_paid_nav,simulated_margin_nav,stress_capital_nav,required_capital_nav,nav_return,required_capital_return,rejected_trades,excluded_gross_return_nav
2021-01-29,Equity-option Greek Markowitz,mid,0.370992695497783,1.984017499204737,0.09274817387444576,1.984017499204737,0.07746807308005617,0.03904606340977741,14,0.04376086355588264
2021-02-26,Equity-option Greek Markowitz,mid,0.619323007455806,1.8564007308228072,0.1548307518639515,1.8564007308228072,0.21504438942636755,0.1158394229520983,9,0.09783863102744611
2021-03-31,Equity-option Greek Markowitz,mid,0.21581008389128484,0.6296750982188465,0.05395252097282121,0.6296750982188465,-0.04318448328153063,-0.06858216785717904,15,-0.2595756166150038
2021-04-30,Equity-option Greek Markowitz,mid,0.27382775585140795,1.8771752482647808,0.06845693896285199,1.8771752482647808,0.11950678640254203,0.06366309512817807,16,-0.29783451181034276
2021-06-30,Equity-option Greek Markowitz,mid,0.2538493169013626,1.6646059315413688,0.06346232922534065,1.6646059315413688,-0.009341446724694585,-0.005611806703130465,18,-0.1864321744970776
2021-07-30,Equity-option Greek Markowitz,mid,0.2619949149580483,0.7823495314469283,0.06549872873951207,0.7823495314469283,-0.037134505987587385,-0.04746536489759047,19,-0.02800502584096969
2021-08-31,Equity-option Greek Markowitz,mid,0.2515598170151256,1.242663726930747,0.0628899542537814,1.242663726930747,-0.07240663195780139,-0.058267277292013996,16,0.019557067561623016
2021-09-30,Equity-option Greek Markowitz,mid,0.22728888829894975,1.3124465468704396,0.05682222207473744,1.3124465468704396,-0.02272474971347295,-0.017314800185699496,20,-0.03947055930748872
2021-10-29,Equity-option Greek Markowitz,mid,0.20069730904300717,1.1288173284978236,0.05017432726075179,1.1288173284978236,0.03499532124359331,0.0310017576450243,19,0.167086025634952
2021-11-30,Equity-option Greek Markowitz,mid,0.41841724322774265,2.514961264923418,0.10460431080693566,2.514961264923418,0.1342015667038564,0.053361285748447874,11,0.6517387412026399
2021-12-31,Equity-option Greek Markowitz,mid,0.2828524920987386,1.3165453919878396,0.07071312302468465,1.3165453919878396,0.03477204029859804,0.02641157723099548,15,-0.3118573108966404
2022-01-31,Equity-option Greek Markowitz,mid,0.27185069645751636,1.6633868127706686,0.06796267411437909,1.6633868127706686,-0.05986967334849608,-0.035992634358314055,15,-0.34079325134878324
2022-02-28,Equity-option Greek Markowitz,mid,0.3569552504925795,1.3660428813521477,0.08923881262314487,1.3660428813521477,-0.12066955655858191,-0.08833511612691089,13,-0.3356979755798695
2022-04-29,Equity-option Greek Markowitz,mid,0.3765331574883566,0.9447377256179191,0.09413328937208915,0.9447377256179191,0.07711877847763826,0.08162982845550878,15,-0.0825441267753151
2022-05-31,Equity-option Greek Markowitz,mid,0.3226387691955075,1.0460177374814208,0.08065969229887687,1.0460177374814208,0.07307587932765269,0.06986103266623685,15,-0.35990394233962325
2022-06-30,Equity-option Greek Markowitz,mid,0.37155768444316417,0.8193720438168596,0.09288942111079104,0.8193720438168596,-0.08838075736268441,-0.10786401370369267,15,0.35955609005142136
2022-07-29,Equity-option Greek Markowitz,mid,0.18657402231917775,0.5136137112271212,0.046643505579794436,0.5136137112271212,-0.05584677757804962,-0.10873303488067133,19,0.024648923180902813
2022-08-31,Equity-option Greek Markowitz,mid,0.31863290275152695,1.9329759052516997,0.07965822568788174,1.9329759052516997,-0.050930220313829044,-0.02634808854857259,14,-0.18262366477862954
2022-09-30,Equity-option Greek Markowitz,mid,0.18281212520897328,1.5615460083409336,0.04570303130224332,1.5615460083409336,0.0982827963385727,0.06293941761152037,20,-0.1732793091247853
2022-10-31,Equity-option Greek Markowitz,mid,0.35318917604814937,1.174696672436329,0.08829729401203734,1.174696672436329,-0.02956957949217836,-0.025172097772994322,14,0.04390545605302924
2022-11-30,Equity-option Greek Markowitz,mid,0.2745269801720549,0.9960970763497979,0.06863174504301373,0.9960970763497979,0.14731345277256935,0.14789065872213997,17,-0.03922858624266427
2022-12-30,Equity-option Greek Markowitz,mid,0.3013625421569029,0.7943296433656509,0.07534063553922572,0.7943296433656509,-0.007815280983041573,-0.009838838381918465,16,-0.09262481952155881
2023-01-31,Equity-option Greek Markowitz,mid,0.2404775764165082,0.7425588149893955,0.06011939410412705,0.7425588149893955,-0.028233531200288098,-0.03802194604704989,16,0.28422869515988214
2023-02-28,Equity-option Greek Markowitz,mid,0.18446331923507003,0.4462231451035478,0.04611582980876751,0.4462231451035478,0.014367556133126513,0.03219814187314839,21,0.34082532416127326
2023-03-31,Equity-option Greek Markowitz,mid,0.2561838080427303,0.6331551392161381,0.06404595201068257,0.6331551392161381,-0.050490230469406594,-0.0797438531919914,17,0.7623563926967709
2023-04-28,Equity-option Greek Markowitz,mid,0.30715066539684605,0.7934697005175024,0.07678766634921151,0.7934697005175024,-0.06192340572384723,-0.0780412984685624,18,-0.041520103093968475
2023-05-31,Equity-option Greek Markowitz,mid,0.14917797030794028,0.5624657074353706,0.03729449257698507,0.5624657074353706,0.032924531461987316,0.05853606900251864,21,0.31199373761132543
2023-06-30,Equity-option Greek Markowitz,mid,0.2318849130727015,1.213065095249304,0.05797122826817538,1.213065095249304,0.08517809230743056,0.07021724773139658,17,0.42340559362701646
2023-07-31,Equity-option Greek Markowitz,mid,0.4162836316285049,1.7347164377801199,0.10407090790712623,1.7347164377801199,-0.034873643049424974,-0.020103368072105228,14,0.09957395157168104
2023-08-31,Equity-option Greek Markowitz,mid,0.2208216126586194,2.557936854352428,0.05520540316465485,2.557936854352428,0.1569998468592853,0.0613775303296264,18,-0.4277327336143295
2023-09-29,Equity-option Greek Markowitz,mid,0.24211455787798034,1.3767518987702976,0.060528639469495084,1.3767518987702976,0.16322092212005235,0.11855507318772526,21,-0.10017614105922944
2023-10-31,Equity-option Greek Markowitz,mid,0.27510260652058305,1.477596395924337,0.06877565163014576,1.477596395924337,-0.007606481950784838,-0.005147875273495416,14,-0.3085869652729722
2023-11-30,Equity-option Greek Markowitz,mid,0.204171704464132,1.2370349456181802,0.051042926116033,1.2370349456181802,-0.024302935601661968,-0.01964611888107747,20,0.6837292715303472
2023-12-29,Equity-option Greek Markowitz,mid,0.3651786111269796,1.296001784878389,0.0912946527817449,1.296001784878389,0.04194638663588858,0.032365994495775055,23,0.049022566264536396
2024-01-31,Equity-option Greek Markowitz,mid,0.3791090701782009,0.7808775755852997,0.09477726754455022,0.7808775755852997,0.5176777597297825,0.6629435598041881,19,-0.15360330545534615
2024-02-29,Equity-option Greek Markowitz,mid,0.3870362809983866,1.9706343824957395,0.09675907024959665,1.9706343824957395,0.21855290947123523,0.11090484942947439,15,-0.028514308417370623
2024-04-30,Equity-option Greek Markowitz,mid,0.3242452775815365,1.1805951790540465,0.08106131939538412,1.1805951790540465,0.37191757604564735,0.31502549107785344,18,-0.5033510879540786
2024-05-31,Equity-option Greek Markowitz,mid,0.4272020198876829,1.5951745704581095,0.10680050497192073,1.5951745704581095,-0.14208692732834738,-0.08907296415058961,14,0.21891068516665574
2024-06-28,Equity-option Greek Markowitz,mid,0.35671166994783526,1.1758447107516474,0.08917791748695882,1.1758447107516474,0.21654543612247243,0.1841615939098351,17,0.1338307978698783
2024-07-31,Equity-option Greek Markowitz,mid,0.3101009159837776,1.376552466979922,0.0775252289959444,1.376552466979922,0.22209933748452948,0.16134462202650568,16,-0.06589289897552099
2024-08-30,Equity-option Greek Markowitz,mid,0.44585014309294385,1.7110131651795282,0.11146253577323596,1.7110131651795282,-0.011918166875483638,-0.0069655611762830145,15,-0.14539378670665482
2024-09-30,Equity-option Greek Markowitz,mid,0.1504650451114083,0.722864438302754,0.03761626127785207,0.722864438302754,0.019298856365264072,0.02669775319225376,21,0.1415219261450067
2024-10-31,Equity-option Greek Markowitz,mid,0.2818611280500549,1.9000527257146467,0.07046528201251373,1.9000527257146467,-0.06395589730399975,-0.03366006450160203,18,0.31399665533529475
2024-11-29,Equity-option Greek Markowitz,mid,0.3189884190473632,1.7053978239255216,0.0797471047618408,1.7053978239255216,0.359349453870144,0.2107129778335155,12,0.10839368129718314
2024-12-31,Equity-option Greek Markowitz,mid,0.19149663648956153,0.5394021969895223,0.04787415912239038,0.5394021969895223,0.07062419344866838,0.13093048905405225,21,0.3017740951763676
2025-01-31,Equity-option Greek Markowitz,mid,0.4032209888082981,1.2235775766567425,0.10080524720207452,1.2235775766567425,0.10342429473882453,0.08452614424450078,18,0.013323484095375683
2025-02-28,Equity-option Greek Markowitz,mid,0.2887707759169804,2.253306090500651,0.0721926939792451,2.253306090500651,-0.06104564730683437,-0.027091591135437326,14,-0.11168692875088909
2025-04-30,Equity-option Greek Markowitz,mid,0.47337470863735365,1.6820458828613964,0.11834367715933841,1.6820458828613964,-0.0659877670186238,-0.03923065814730888,9,-0.042905085283171086
2025-05-30,Equity-option Greek Markowitz,mid,0.2854940097772244,1.1981328439461598,0.0713735024443061,1.1981328439461598,0.049530017551937866,0.04133933712125463,15,0.9568974226650236
2025-06-30,Equity-option Greek Markowitz,mid,0.4898886261196925,1.516860018952149,0.12247215652992313,1.516860018952149,0.006849676586192302,0.004515694593179453,15,0.04103893709291274
2025-07-31,Equity-option Greek Markowitz,mid,0.2749872544043248,0.7398339207594496,0.0687468136010812,0.7398339207594496,-0.07733086717164483,-0.10452463046336621,15,0.23791061004351713
2025-08-29,Equity-option Greek Markowitz,mid,0.42958669646163233,1.8860213883988992,0.10739667411540808,1.8860213883988992,0.016692210729139352,0.008850488563817337,12,-0.022762389008965902
2025-09-30,Equity-option Greek Markowitz,mid,0.32118591580833106,2.1622625085085185,0.08029647895208276,2.1622625085085185,0.34588978964261713,0.15996660363001178,13,0.10873899949189737
2025-10-31,Equity-option Greek Markowitz,mid,0.39957076846292533,1.857639588759064,0.09989269211573133,1.857639588759064,-0.15939330145699512,-0.08580421219568897,16,-0.07067473649127243
2025-11-28,Equity-option Greek Markowitz,mid,0.628240014312426,2.9027698328122504,0.1570600035781065,2.9027698328122504,-0.2409313847954604,-0.08300051284536128,9,0.10814799801072686
2025-12-31,Equity-option Greek Markowitz,mid,0.304918371183598,1.0166842469651072,0.0762295927958995,1.0166842469651072,0.05042381614341989,0.0495963385819535,16,-0.04444511920805347
2026-01-30,Equity-option Greek Markowitz,mid,0.20121753040448437,1.4328636579007155,0.05030438260112109,1.4328636579007155,-0.07701101450702447,-0.05374622636451893,23,-0.15409177795252432
2026-02-27,Equity-option Greek Markowitz,mid,0.4664213704577237,1.5560158098301173,0.11660534261443092,1.5560158098301173,-0.06229565532249623,-0.04003536142045854,8,-0.22729313678355065
2026-03-31,Equity-option Greek Markowitz,mid,0.376828043839826,2.5033320354205504,0.0942070109599565,2.5033320354205504,-0.017538153483941304,-0.007005923799075643,12,-0.2046815934924302
2026-04-30,Equity-option Greek Markowitz,mid,0.401661389047333,1.9202493888176806,0.10041534726183325,1.9202493888176806,0.15106626502405304,0.07867012790305652,11,0.2312621607094081
2021-01-29,Greek Markowitz + VIX,mid,0.41812489477742926,1.5954525686138286,0.10453122369435731,1.5954525686138286,0.037066052124128,0.023232312168535333,13,0.17511744187998812
2021-02-26,Greek Markowitz + VIX,mid,0.5757258537851486,1.2474075545880792,0.14393146344628716,1.2474075545880792,0.12432264351069269,0.09966481528304252,9,0.02018711190388539
2021-03-31,Greek Markowitz + VIX,mid,0.3286831901751884,0.9295994402408941,0.0821707975437971,0.9295994402408941,-0.002176939954916246,-0.0023418042876102844,13,-0.33414074034081226
2021-04-30,Greek Markowitz + VIX,mid,0.41715048069539773,2.4717078876501213,0.10428762017384943,2.4717078876501213,0.14592766064459328,0.05903920174941394,16,-0.11029093525479997
2021-06-30,Greek Markowitz + VIX,mid,0.4899211709885211,2.1856939846882457,0.12248029274713028,2.1856939846882457,-0.010938500130482504,-0.005004589026236766,15,-0.12493603304077258
2021-07-30,Greek Markowitz + VIX,mid,0.46051345472270966,1.4305051817440173,0.11512836368067741,1.4305051817440173,-0.045738201306632434,-0.03197346076780384,17,0.16014249164761438
2021-08-31,Greek Markowitz + VIX,mid,0.3227646149602734,1.1445223147886099,0.08069115374006836,1.1445223147886099,-0.06584965983158533,-0.057534622943325994,15,0.03722565118181552
2021-09-30,Greek Markowitz + VIX,mid,0.2788049810676212,1.4522753178054952,0.0697012452669053,1.4522753178054952,2.8722121146101953e-05,1.9777325135225316e-05,21,0.048469414886534085
2021-10-29,Greek Markowitz + VIX,mid,0.34709737850656597,1.2830534262953075,0.08677434462664149,1.2830534262953075,-0.12517573678453328,-0.09756081408547897,19,0.0505851822253697
2021-11-30,Greek Markowitz + VIX,mid,0.4501930113714239,1.6609764273448953,0.11254825284285598,1.6609764273448953,-0.007729646973288373,-0.004653676503792635,14,0.6621804899080266
2021-12-31,Greek Markowitz + VIX,mid,0.4658983296678281,1.2704779743739465,0.11647458241695703,1.2704779743739465,0.005252409726733964,0.004134199752122578,13,-0.29832269424650903
2022-01-31,Greek Markowitz + VIX,mid,0.1742455079913352,0.9655292376476615,0.0435613769978338,0.9655292376476615,-0.09172613424067182,-0.09500088724826818,20,0.048625462108007576
2022-02-28,Greek Markowitz + VIX,mid,0.48755981410163,1.2407905044969603,0.1218899535254075,1.2407905044969603,-0.10582073862047467,-0.08528493588317423,13,0.03031055740032075
2022-04-29,Greek Markowitz + VIX,mid,0.5388048719466374,1.2190019617061385,0.13470121798665935,1.2190019617061385,0.22130548235008007,0.1815464530018776,14,-0.10363588874358193
2022-05-31,Greek Markowitz + VIX,mid,0.3040465740821431,1.0336251508283136,0.07601164352053577,1.0336251508283136,0.009019623616121575,0.008726203700532578,13,-0.3813336408623605
2022-06-30,Greek Markowitz + VIX,mid,0.49818870851136166,1.3308617314269693,0.12454717712784041,1.3308617314269693,0.022861405786409827,0.01717789703209626,13,0.22933000373204643
2022-07-29,Greek Markowitz + VIX,mid,0.24538797517353061,0.8037474404205891,0.061346993793382654,0.8037474404205891,0.00882962071425672,0.010985566199298016,16,-0.07250534371145745
2022-08-31,Greek Markowitz + VIX,mid,0.2890543293105286,1.4015584973184163,0.07226358232763215,1.4015584973184163,0.0032805815948777073,0.0023406669084126003,18,-0.1856721559979721
2022-09-30,Greek Markowitz + VIX,mid,0.17186816473337913,1.8997854346764051,0.04296704118334478,1.8997854346764051,0.09688399518502155,0.050997335497271055,19,-0.009028660875407872
2022-10-31,Greek Markowitz + VIX,mid,0.26417700959064044,0.7732873177834527,0.06604425239766011,0.7732873177834527,-0.0384809535545437,-0.04976281476443366,17,0.23032127883821646
2022-11-30,Greek Markowitz + VIX,mid,0.2786879189075986,0.9214039349365859,0.06967197972689965,0.9214039349365859,0.011598493877557764,0.012587849300161727,15,0.21391688517354485
2022-12-30,Greek Markowitz + VIX,mid,0.30527902246449884,0.8487970618226848,0.07631975561612471,0.8487970618226848,-0.14520606127313854,-0.17107276615841108,18,0.02504021138515312
2023-01-31,Greek Markowitz + VIX,mid,0.22114186738781308,0.7748491814730641,0.05528546684695327,0.7748491814730641,0.06788357493735536,0.08760875865972013,17,0.05827148790569253
2023-02-28,Greek Markowitz + VIX,mid,0.19449161354323574,0.6104302060058218,0.048622903385808935,0.6104302060058218,0.07774195301041559,0.12735600605202382,18,0.24494900320474955
2023-03-31,Greek Markowitz + VIX,mid,0.24340452280709302,0.8628719487793269,0.060851130701773254,0.8628719487793269,-0.10641352132879633,-0.12332481253949165,17,0.7224153775309868
2023-04-28,Greek Markowitz + VIX,mid,0.5103064719089427,1.3984764615080014,0.12757661797723568,1.3984764615080014,-0.25097065366973,-0.17946004854390182,15,0.07879592235685108
2023-05-31,Greek Markowitz + VIX,mid,0.1377764814247412,0.7924690266603313,0.0344441203561853,0.7924690266603313,0.05792504837740825,0.07309440044807725,20,0.47032813193152717
2023-06-30,Greek Markowitz + VIX,mid,0.32022506646484233,1.3463854580971717,0.08005626661621058,1.3463854580971717,0.21682699848552933,0.16104377626892077,15,0.023052755440614747
