Strategy,Equity delta,Equity gamma,Equity vega,VIX-forward delta,VIX-forward gamma,VIX-option vega,Theta/carry,VX roll,Skew/tail,Residual,Realized ann. mean,Residual vol share
Equity-option Greek Markowitz,0.5210102250180959,0.8978933753201472,0.0016145447394332179,0.0,0.0,0.0,-0.002809035093482618,0.0,0.0,-0.523544537399122,0.894164572585072,0.5695303603134664
Greek Markowitz + VIX,0.48863794963418294,1.4748548847980976,0.0012217413136666336,0.766697830156877,-0.8673223116969567,-0.22734701580522038,1.056651712220489,0.0,0.0,-1.4470755621131357,1.2463192285080007,0.9499344927025789
Beta/delta-neutral + VIX,0.1676416633850296,1.485532799189598,0.0012773725372103237,0.5540338678250629,-0.7446377554040055,-0.19046344697969292,1.0341356023073374,0.0,0.0,-1.1354582330952732,1.1720618697652665,1.0693548399554291
Equal premium,0.06186321205108207,7.928017999704368,0.006482531671717832,-0.01581423907118678,0.3576092161543397,0.04476287708601766,-1.0155255726090326,0.0,0.0,-7.422917623632573,-0.05552159864526898,0.35422888006343595
Equal risk,0.027028161423989727,5.625198899498065,0.004447796755146873,-0.09606397337803219,0.2704725751647935,0.04926464167273316,-0.5920259551406492,0.0,0.0,-5.183976611859249,0.10434553413679803,0.5137550538691144
VIX hedge sleeve,0.0,0.0,0.0,2.0828115970070917,2.61494460376059,0.13535175149394257,-12.253507676914154,0.0,0.0,-1.864512660568539,-9.28491238522107,4.857923214886106
