fold_id,scheme,test_groups,test_start,test_end,n_train,n_test,n_purged,n_embargoed,purged_dates,embargoed_dates,status
cpcv_03_05,cpcv,3_5,2017-11-30,2020-09-30,101,22,4,2,2017-10-31;2018-11-30;2019-10-31;2020-10-30,2018-12-31;2020-11-30,ok
cpcv_03_06,cpcv,3_6,2017-11-30,2021-09-30,101,22,4,2,2017-10-31;2018-11-30;2020-09-30;2021-10-29,2018-12-31;2021-11-30,ok
cpcv_03_07,cpcv,3_7,2017-11-30,2022-09-30,101,22,4,2,2017-10-31;2018-11-30;2021-09-30;2022-10-31,2018-12-31;2022-11-30,ok
cpcv_03_08,cpcv,3_8,2017-11-30,2023-08-31,101,22,4,2,2017-10-31;2018-11-30;2022-09-30;2023-09-29,2018-12-31;2023-10-31,ok
cpcv_03_09,cpcv,3_9,2017-11-30,2024-07-31,102,21,4,2,2017-10-31;2018-11-30;2023-08-31;2024-08-30,2018-12-31;2024-09-30,ok
cpcv_03_10,cpcv,3_10,2017-11-30,2025-06-30,102,21,4,2,2017-10-31;2018-11-30;2024-07-31;2025-07-31,2018-12-31;2025-08-29,ok
cpcv_03_11,cpcv,3_11,2017-11-30,2026-04-30,104,21,3,1,2017-10-31;2018-11-30;2025-06-30,2018-12-31,ok
cpcv_04_05,cpcv,4_5,2018-11-30,2020-09-30,104,22,2,1,2018-10-31;2020-10-30,2020-11-30,ok
cpcv_04_06,cpcv,4_6,2018-11-30,2021-09-30,101,22,4,2,2018-10-31;2019-11-29;2020-09-30;2021-10-29,2019-12-31;2021-11-30,ok
cpcv_04_07,cpcv,4_7,2018-11-30,2022-09-30,101,22,4,2,2018-10-31;2019-11-29;2021-09-30;2022-10-31,2019-12-31;2022-11-30,ok
cpcv_04_08,cpcv,4_8,2018-11-30,2023-08-31,101,22,4,2,2018-10-31;2019-11-29;2022-09-30;2023-09-29,2019-12-31;2023-10-31,ok
cpcv_04_09,cpcv,4_9,2018-11-30,2024-07-31,102,21,4,2,2018-10-31;2019-11-29;2023-08-31;2024-08-30,2019-12-31;2024-09-30,ok
cpcv_04_10,cpcv,4_10,2018-11-30,2025-06-30,102,21,4,2,2018-10-31;2019-11-29;2024-07-31;2025-07-31,2019-12-31;2025-08-29,ok
cpcv_04_11,cpcv,4_11,2018-11-30,2026-04-30,104,21,3,1,2018-10-31;2019-11-29;2025-06-30,2019-12-31,ok
cpcv_05_06,cpcv,5_6,2019-11-29,2021-09-30,104,22,2,1,2019-10-31;2021-10-29,2021-11-30,ok
cpcv_05_07,cpcv,5_7,2019-11-29,2022-09-30,101,22,4,2,2019-10-31;2020-10-30;2021-09-30;2022-10-31,2020-11-30;2022-11-30,ok
cpcv_05_08,cpcv,5_8,2019-11-29,2023-08-31,101,22,4,2,2019-10-31;2020-10-30;2022-09-30;2023-09-29,2020-11-30;2023-10-31,ok
cpcv_05_09,cpcv,5_9,2019-11-29,2024-07-31,102,21,4,2,2019-10-31;2020-10-30;2023-08-31;2024-08-30,2020-11-30;2024-09-30,ok
cpcv_05_10,cpcv,5_10,2019-11-29,2025-06-30,102,21,4,2,2019-10-31;2020-10-30;2024-07-31;2025-07-31,2020-11-30;2025-08-29,ok
cpcv_05_11,cpcv,5_11,2019-11-29,2026-04-30,104,21,3,1,2019-10-31;2020-10-30;2025-06-30,2020-11-30,ok
cpcv_06_07,cpcv,6_7,2020-10-30,2022-09-30,104,22,2,1,2020-09-30;2022-10-31,2022-11-30,ok
cpcv_06_08,cpcv,6_8,2020-10-30,2023-08-31,101,22,4,2,2020-09-30;2021-10-29;2022-09-30;2023-09-29,2021-11-30;2023-10-31,ok
cpcv_06_09,cpcv,6_9,2020-10-30,2024-07-31,102,21,4,2,2020-09-30;2021-10-29;2023-08-31;2024-08-30,2021-11-30;2024-09-30,ok
cpcv_06_10,cpcv,6_10,2020-10-30,2025-06-30,102,21,4,2,2020-09-30;2021-10-29;2024-07-31;2025-07-31,2021-11-30;2025-08-29,ok
cpcv_06_11,cpcv,6_11,2020-10-30,2026-04-30,104,21,3,1,2020-09-30;2021-10-29;2025-06-30,2021-11-30,ok
cpcv_07_08,cpcv,7_8,2021-10-29,2023-08-31,104,22,2,1,2021-09-30;2023-09-29,2023-10-31,ok
cpcv_07_09,cpcv,7_9,2021-10-29,2024-07-31,102,21,4,2,2021-09-30;2022-10-31;2023-08-31;2024-08-30,2022-11-30;2024-09-30,ok
cpcv_07_10,cpcv,7_10,2021-10-29,2025-06-30,102,21,4,2,2021-09-30;2022-10-31;2024-07-31;2025-07-31,2022-11-30;2025-08-29,ok
cpcv_07_11,cpcv,7_11,2021-10-29,2026-04-30,104,21,3,1,2021-09-30;2022-10-31;2025-06-30,2022-11-30,ok
cpcv_08_09,cpcv,8_9,2022-10-31,2024-07-31,105,21,2,1,2022-09-30;2024-08-30,2024-09-30,ok
cpcv_08_10,cpcv,8_10,2022-10-31,2025-06-30,102,21,4,2,2022-09-30;2023-09-29;2024-07-31;2025-07-31,2023-10-31;2025-08-29,ok
cpcv_08_11,cpcv,8_11,2022-10-31,2026-04-30,104,21,3,1,2022-09-30;2023-09-29;2025-06-30,2023-10-31,ok
cpcv_09_10,cpcv,9_10,2023-09-29,2025-06-30,106,20,2,1,2023-08-31;2025-07-31,2025-08-29,ok
cpcv_09_11,cpcv,9_11,2023-09-29,2026-04-30,105,20,3,1,2023-08-31;2024-08-30;2025-06-30,2024-09-30,ok
cpcv_10_11,cpcv,10_11,2024-08-30,2026-04-30,108,20,1,0,2024-07-31,,ok
