Strategy,Scenario,Fail-closed Sharpe,Repaired Sharpe,Fail-closed ann. return,Repaired ann. return,Repair uplift (ann.)
Equity-option Greek Markowitz,mid,1.024061592000829,1.1949847905748554,0.48831186773498636,0.6943288658947162,0.20601699815972985
Greek Markowitz + VIX,mid,0.7711086511912625,1.3548023461299254,0.4238702080153992,0.8234634065341307,0.39959319851873154
Beta/delta-neutral + VIX,mid,1.264557335336763,1.6215594907559048,0.6909073562589586,0.9145073311731613,0.2235999749142027
Cost-aware Sortino + VIX,mid,0.1421634554413105,0.5920750371317202,0.2138503387596217,1.4244322115765322,1.2105818728169104
Equal premium,mid,0.052158266614304366,0.01749389268828486,0.06110492676862776,0.024585642389711997,-0.036519284378915766
Equal risk,mid,0.1368325564521835,0.14265504976847848,0.10785780724337377,0.13907350775807967,0.031215700514705902
VIX hedge sleeve,mid,-1.6996724333246915,-4.2558480451397624,-1.4171421606281407,-4.2774456691881415,-2.860303508560001
Equity-option Greek Markowitz,half_spread,0.9688501246318464,1.1217331219104212,0.4615843813872825,0.652255537659917,0.19067115627263442
Greek Markowitz + VIX,half_spread,0.5335726940127598,1.0512695173708748,0.2925250138049245,0.6394502427775011,0.34692522897257655
Beta/delta-neutral + VIX,half_spread,0.9706071354884372,1.274563573362943,0.5320951152648987,0.7205983374061463,0.1885032221412476
Cost-aware Sortino + VIX,half_spread,0.09439727908111553,0.5396154584528193,0.14191123545438636,1.298370564066012,1.1564593286116256
Equal premium,half_spread,-0.0520522462565566,-0.08501204470776108,-0.06094092172071965,-0.11939289494056099,-0.05845197321984134
Equal risk,half_spread,0.015174491903404742,0.02442105688006135,0.011959257614895868,0.023797134470483237,0.011837876855587369
VIX hedge sleeve,half_spread,-1.7416149345924965,-4.457609582364809,-1.552142160628141,-4.674860545688141,-3.1227183850599998
Equity-option Greek Markowitz,full_spread,0.9134753475315867,1.0485271442658985,0.43485689503957886,0.6101822094251178,0.17532531438553894
Greek Markowitz + VIX,full_spread,0.29431840025235295,0.7477373719344759,0.16117981959444952,0.4554370790208713,0.2942572594264218
Beta/delta-neutral + VIX,full_spread,0.6779192503574191,0.9287925548971162,0.37328287427083884,0.5266893436391313,0.1534064693682925
Cost-aware Sortino + VIX,full_spread,0.046563442621254766,0.48713251057171647,0.06997213214915084,1.1723089165554914,1.1023367844063405
Equal premium,full_spread,-0.15639381474734906,-0.1876534888967976,-0.18298677021006715,-0.2633714322708341,-0.08038466206076694
Equal risk,full_spread,-0.10651899845248258,-0.09391712351210438,-0.08393929201358201,-0.091479238817113,-0.0075399468035309974
VIX hedge sleeve,full_spread,-1.7767478772756302,-4.635113747209603,-1.6871421606281412,-5.072275422188142,-3.3851332615600005
