Strategy,Ann. alpha,Alpha HAC t,Alpha HAC se,HAC lags,$R^2$,Residual ann. vol,N,Beta SPY,Beta AAPL,Beta AMZN,Beta GOOGL,Beta JPM,Beta META,Beta MSFT,Beta NVDA,Beta TSLA,Beta VX front,Beta dVIX,Beta dVVIX
Equity-option Greek Markowitz,0.4046822482056147,1.1412995685451395,0.35458021658720107,3,0.6182781587595915,0.6341524538729405,58,0.004759730502563564,-1.3313120443145823,-0.8753212101739157,0.6310663247316397,0.5898913622968796,0.12642600435158413,2.585471137214618,-0.08855912609384967,1.1362339950791,-1.3679497671888123,0.045821494038335055,0.0030517520358295308
Greek Markowitz + VIX,0.674784189662346,2.05979141678831,0.32759831124769434,3,0.5133361965786885,0.6156789236418728,58,1.9075485808131794,-1.4617676160235156,-0.7472466207534603,0.6245734021266411,-0.12733967249799893,-0.02632316135682433,1.8773047965731384,0.22158583584672628,0.8712520615001729,-0.7667339494303055,0.05579114462353118,-0.0014040491466392972
Beta/delta-neutral + VIX,0.844947510005782,2.7532562476074434,0.3068902543088876,3,0.42890199014759456,0.6012963847240629,58,0.7154573401299316,-1.4750830275820608,-0.6116080342417155,0.47230553255733587,-0.5785145597193089,-0.16987134408991617,1.3357402460092467,0.369659437413753,0.8146485928682692,-0.5220133711442135,0.03780214054318441,-0.001057869141884102
Equal premium,-0.41604126337318326,-0.5663372586848837,0.7346175039574311,3,0.25260243663169824,1.6469374713863754,58,2.5224904771550585,-1.713665032503091,-0.06933093163439041,1.9428376146637163,-1.87866641161681,-0.34435945732684514,3.000844532326334,-0.37429286869215417,0.40362768652269476,-0.7487384813045158,0.032173858574475925,-0.0005857303792825954
Equal risk,-0.18287551359003082,-0.3341767962767464,0.547241806216203,3,0.25345233739312056,1.1147547910664224,58,2.04148128436806,-1.7945233369061817,-0.11312792354103918,1.3311132881224397,-1.483641610239984,-0.31639728601878975,1.9681549114957901,-0.08218829041128854,0.32112830996903646,-0.3788834768155388,0.020108125711847804,-0.002765976386034434
VIX hedge sleeve,-8.806789511925738,-14.62253044149184,0.6022753412730963,3,0.25243620349716933,1.2638050706290416,58,3.5616785167856206,-0.5968201006564744,-0.5893444934485952,0.6695490355341263,-3.04691860465518,0.4229776365702613,-0.9582199962637911,-0.029810723604025813,-0.13063595502845277,-1.1800723747222541,0.09271988778412793,-0.012626568451072198
Delta-matched equities,8.618106228652778e-15,2.228872529229041,3.866576538423106e-15,3,1.0,6.69586430980181e-15,58,-1.5765166949677223e-14,0.08845570035196268,0.5392280431966198,0.22999390455709603,0.589537565952522,0.010973667678518581,0.4420701251670157,0.7787265956910318,0.6276775634837615,-7.91033905045424e-16,-5.065392549852277e-16,2.5110122314764283e-16
Underlying Markowitz,1.842276331487369e-15,2.700190034382549,6.822765464759748e-16,3,1.0,9.370047934832892e-16,58,-2.858824288409778e-15,-0.08539238334236143,0.1585853250186757,-0.0955925430019258,-0.04952821209643099,0.02941065220282102,0.2803474650247234,0.1906216946953266,0.11052172461773474,-1.2108369862318114e-15,-7.112366251504909e-17,3.664603343001005e-17
