config,strategy,window,start,end,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,defaulted,mean_gross_nav,integer_abstentions
larger,R1 repaired net utility,aligned_2018_2026,2018-02-28,2026-04-30,93,0.05857303916957557,0.1294653988286737,0.5044030482703693,0.8121506798010751,-0.24997877921399336,0.05227719267757486,0.06807734991893172,1.554484595640126,False,0.03957172043010752,0
larger,R1 repaired net utility,aligned_post_2020,2021-01-29,2026-04-30,60,0.03366764846790593,0.12021464818878398,0.3344133551327276,0.5377473218122564,-0.2499787792139937,0.050117057194167425,0.0609824277153079,1.1800614417101885,False,0.038302016666666654,0
larger,R1.1 25pct positive-edge deployment,aligned_2018_2026,2018-02-28,2026-04-30,93,0.12283199536284695,0.22080841441223242,0.6341233947309571,1.1138905303889617,-0.3939656396263781,0.08111227762194895,0.09805283281833524,2.4543672136173877,False,0.06686283870967741,0
larger,R1.1 25pct positive-edge deployment,aligned_post_2020,2021-01-29,2026-04-30,60,0.09113269365485555,0.22014272436542665,0.5027043038809943,0.8976970499690068,-0.393965639626378,0.08099074457938651,0.0927479466089412,1.5466350349959366,False,0.06560719999999999,0
larger+VIX,R1 repaired net utility,aligned_2018_2026,2018-02-28,2026-04-30,93,0.11575594417504598,0.10038656997960627,1.1460031503811163,1.875431733377022,-0.12917769618171593,0.0418144155366053,0.060849850959578025,2.3370143087048,False,0.04500095698924729,0
larger+VIX,R1 repaired net utility,aligned_post_2020,2021-01-29,2026-04-30,60,0.19142839500158626,0.09755314206885235,1.8562198889302461,3.8463557324101187,-0.07166391198541489,0.03542253416514629,0.047634972714319934,2.4007101662214643,False,0.04999491666666664,0
larger+VIX,R1.1 25pct positive-edge deployment,aligned_2018_2026,2018-02-28,2026-04-30,93,0.14231014732037695,0.11853660992780564,1.1870554756746807,2.1965096025855146,-0.12125351882233826,0.03571081518192426,0.06742741756992046,2.80431160402556,False,0.047061387096774175,34
larger+VIX,R1.1 25pct positive-edge deployment,aligned_post_2020,2021-01-29,2026-04-30,60,0.19951650701692092,0.13198288800588046,1.4529649281931398,2.9939610996199164,-0.12125351882233826,0.03744393700875095,0.06483887453378367,2.483311182591448,False,0.059688749999999985,14
orig,R1 repaired net utility,aligned_2018_2026,2018-02-28,2026-04-30,93,0.05643307977489531,0.12127693068440175,0.513552223512407,0.8095024969037512,-0.2853615035963142,0.05403728446566412,0.06510828304769854,1.5302959734748032,False,0.03241596774193548,0
orig,R1 repaired net utility,aligned_post_2020,2021-01-29,2026-04-30,60,0.04062602643950686,0.1258810015145206,0.3785884806029858,0.5876552635466613,-0.2853615035963142,0.053614722672936294,0.06692999501397516,1.220319125444084,False,0.031752499999999996,0
orig,R1.1 25pct positive-edge deployment,aligned_2018_2026,2018-02-28,2026-04-30,93,0.11765719339245195,0.20971272212162592,0.6350765149451283,1.0967759554871641,-0.38110033724647174,0.0835289974955224,0.09979497436304986,2.3680550092750567,False,0.05545633333333334,0
orig,R1.1 25pct positive-edge deployment,aligned_post_2020,2021-01-29,2026-04-30,60,0.09301368447636071,0.2162173201357472,0.5171319737982226,0.8978850140307754,-0.38110033724647174,0.08445761773574016,0.09826306639300773,1.560012206815291,False,0.054232266666666654,0
orig+VIX,R1 repaired net utility,aligned_2018_2026,2018-02-28,2026-04-30,93,0.13445741659451027,0.10235840000143996,1.2897594910291714,2.189916418363264,-0.14630346065321154,0.040129204870244434,0.06375481376048263,2.658327841848671,False,0.044503806451612886,0
orig+VIX,R1 repaired net utility,aligned_post_2020,2021-01-29,2026-04-30,60,0.2298880404035646,0.09632262766324334,2.2136843529213968,5.012937263410321,-0.0658575339260501,0.02523682198853483,0.04598174219390037,2.814024614739748,False,0.04887196666666666,0
orig+VIX,R1.1 25pct positive-edge deployment,aligned_2018_2026,2018-02-28,2026-04-30,93,0.16004995578395276,0.1339714878610771,1.1804704540113942,2.275000335244693,-0.1705011868057048,0.04402368599851006,0.07690150984917028,3.1600529658249568,False,0.047610064516129015,32
orig+VIX,R1.1 25pct positive-edge deployment,aligned_post_2020,2021-01-29,2026-04-30,60,0.2620170283421792,0.14463880695609135,1.69412721589659,3.9402499696244444,-0.10744968701648183,0.04272485411577832,0.06787173859353726,3.201297786396169,False,0.05848331666666666,14
