config,strategy,return_date,decision_date,train_start,train_end,gross_return,predicted_cost,net_return,gross_nav,predicted_annual_vol,scenario_cvar_loss,short_margin_used,collateral_used,integer_repair_failed,information_set_valid,evidence_status,segment,window,march_2020_in_training_window,march_2020_observation_policy,risk_aversion,stage1_gross_nav,deployment_target,deployment_target_feasible,deployment_target_applied,deployment_target_met_after_integer_repair,deployment_shortfall_after_integer_repair,positive_edge_contracts,integer_execution_abstained,integer_conversion_feasible,integer_abstention_reason,integer_repair_method,pre_repair_feasible,pre_repair_max_breach,best_failed_method,failed_max_breach,failed_breach_base,failed_breach_cap,failed_breach_cvar,failed_breach_stress,failed_breach_margin,failed_breach_collateral,failed_breach_assignment,failed_breach_volatility,failed_scenario_cvar_loss,failed_worst_stress_return,failed_short_margin_used,failed_collateral_used,failed_predicted_annual_vol,continuous_predicted_annual_vol,direct_truncation_max_breach,direct_truncation_scenario_cvar_loss,direct_truncation_worst_stress_return,direct_truncation_short_margin_used,direct_truncation_collateral_used,direct_truncation_predicted_annual_vol,direct_truncation_breach_base,direct_truncation_breach_cap,direct_truncation_breach_cvar,direct_truncation_breach_stress,direct_truncation_breach_margin,direct_truncation_breach_collateral,direct_truncation_breach_assignment,direct_truncation_breach_volatility,direct_truncation_breach_positive_edge
larger,R1 repaired net utility,2018-02-28,2018-01-31,2015-02-27,2018-01-31,-0.028134992065429694,0.0011034500624633415,-0.029238442127893036,0.054833,0.14999348708659263,0.0555447030561364,0.05445659942626953,0.09983059942626953,False,True,retrospective_development_extension,new_pre_2021_R1_run,aligned_2018_2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larger,R1 repaired net utility,2018-04-30,2018-02-28,2015-03-31,2018-02-28,0.004391997283935592,0.000814057251620516,0.003577940032315076,0.031261000000000004,0.14999451934081356,0.03800803983033614,0.06490159957885741,0.08867259957885741,False,True,retrospective_development_extension,new_pre_2021_R1_run,aligned_2018_2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larger,R1 repaired net utility,2018-05-31,2018-04-30,2015-04-30,2018-04-30,0.016739983993530244,0.0008465226110656295,0.015893461382464613,0.045319,0.14998988887736778,0.03928393552468955,0.040579999847412104,0.07967399984741211,False,True,retrospective_development_extension,new_pre_2021_R1_run,aligned_2018_2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larger,R1 repaired net utility,2018-06-29,2018-05-31,2015-05-29,2018-05-31,0.03788300288391109,0.001065055992164476,0.03681794689174661,0.037151,0.14999449670496623,0.061329511274805744,0.19108000022888183,0.21340200022888184,False,True,retrospective_development_extension,new_pre_2021_R1_run,aligned_2018_2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larger,R1 repaired net utility,2018-07-31,2018-06-29,2015-06-30,2018-06-29,0.04272200350952148,0.0007322592353000603,0.04198974427422142,0.034864,0.14999652743937664,0.032473050009718014,0.04976680061340333,0.07977280061340333,False,True,retrospective_development_extension,new_pre_2021_R1_run,aligned_2018_2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larger,R1 repaired net utility,2018-08-31,2018-07-31,2015-07-31,2018-07-31,-0.004372995452880897,0.0009035458772572449,-0.005276541330138142,0.038302,0.14999194297071028,0.03490302489108267,0.051886399383544925,0.08245239938354493,False,True,retrospective_development_extension,new_pre_2021_R1_run,aligned_2018_2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larger,R1 repaired net utility,2018-09-28,2018-08-31,2015-08-31,2018-08-31,0.0029300024871826234,0.0009492105869300617,0.0019807919002525617,0.043745,0.14999050845747883,0.03939171984602604,0.043634201049804686,0.08285720104980468,False,True,retrospective_development_extension,new_pre_2021_R1_run,aligned_2018_2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larger,R1 repaired net utility,2018-10-31,2018-09-28,2015-09-30,2018-09-28,-0.08686400108337403,0.0011302021619743231,-0.08799420324534835,0.044791,0.14999217892218694,0.04435263633463735,0.10933159950256349,0.13951459950256348,False,True,retrospective_development_extension,new_pre_2021_R1_run,aligned_2018_2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larger,R1 repaired net utility,2018-11-30,2018-10-31,2015-10-30,2018-10-31,-0.04787599432373047,0.001087625322990075,-0.048963619646720545,0.053949000000000004,0.14999995375390132,0.0803395924023217,0.08577779846191406,0.12472679846191406,False,True,retrospective_development_extension,new_pre_2021_R1_run,aligned_2018_2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larger,R1 repaired net utility,2018-12-31,2018-11-30,2015-11-30,2018-11-30,-0.06827200691223143,0.001173256291155121,-0.06944526320338655,0.049429,0.14999921662410648,0.08159738583025003,0.044850400695800784,0.08633740069580079,False,True,retrospective_development_extension,new_pre_2021_R1_run,aligned_2018_2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
