config,strategy,return_date,decision_date,train_start,train_end,gross_return,predicted_cost,net_return,gross_nav,predicted_annual_vol,scenario_cvar_loss,short_margin_used,collateral_used,integer_repair_failed,information_set_valid,evidence_status,segment
orig+VIX,R1 repaired net utility,2018-02-28,2018-01-31,2015-02-27,2018-01-31,-0.06255099844360354,0.0010271697701195227,-0.06357816821372306,0.027056,0.1499937905746201,0.031248568888148733,0.057781999984741206,0.06493299998474121,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2018-04-30,2018-02-28,2015-03-31,2018-02-28,0.026899999267578148,0.0016667961251854134,0.025233203142392736,0.033632999999999996,0.14999809932386451,0.06402426557009509,0.08641400030517576,0.09110200030517576,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2018-05-31,2018-04-30,2015-04-30,2018-04-30,0.015478995971679673,0.0011067915208590319,0.01437220445082064,0.03362,0.14999226791024767,0.06077664295732126,0.0751379997253418,0.0904139997253418,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2018-06-29,2018-05-31,2015-05-29,2018-05-31,0.0018719993286132565,0.0013559959468740519,0.0005160033817392046,0.027795000000000004,0.14998847459047612,0.03294657368498474,0.10921579960632327,0.11694579960632327,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2018-07-31,2018-06-29,2015-06-30,2018-06-29,0.007302001007080087,0.0013321937868912427,0.005969807220188844,0.030246999999999996,0.1499854550402888,0.045245553939423255,0.08712400053405761,0.09582500053405761,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2018-08-31,2018-07-31,2015-07-31,2018-07-31,0.0036480043487548517,0.001397629171927374,0.0022503751768274778,0.037706,0.1499947294688735,0.0656675733819314,0.07922580010986328,0.09008880010986328,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2018-09-28,2018-08-31,2015-08-31,2018-08-31,-0.009694002380371096,0.001346407888449469,-0.011040410268820565,0.023687000000000003,0.14999220336874305,0.050741814122815115,0.07014964612630545,0.08092464612630546,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2018-10-31,2018-09-28,2015-09-30,2018-09-28,-0.021542001525878908,0.004823317850105303,-0.02636531937598421,0.063638,0.14999754783008104,0.0965625606787453,0.2805556372803581,0.2898256372803581,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2018-11-30,2018-10-31,2015-10-30,2018-10-31,0.038558,0.0025833274907287058,0.0359746725092713,0.042344,0.14998495256833058,0.09115049491530004,0.20919900000000002,0.21067800000000003,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2018-12-31,2018-11-30,2015-11-30,2018-11-30,-0.09157399999999999,0.0025633673851940273,-0.09413736738519402,0.04221,0.14999981653144107,0.09869785820236064,0.156701,0.158663,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2019-01-31,2018-12-31,2015-12-31,2018-12-31,-0.03663700052642822,0.0016605766051355755,-0.0382975771315638,0.030398,0.1499943352718479,0.0953999665992272,0.12977660008239744,0.13078060008239745,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2019-02-28,2019-01-31,2016-01-29,2019-01-31,0.014441001098632809,0.0014284179918583543,0.013012583106774455,0.031737,0.1499983423397275,0.07114612551164406,0.10730450000000001,0.10877150000000001,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2019-04-30,2019-02-28,2016-02-29,2019-02-28,-0.0042579960937500095,0.002270042551850148,-0.006528038645600157,0.034622,0.14999257285707018,0.08874529790179647,0.15098250000000002,0.1519695,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2019-05-31,2019-04-30,2016-03-31,2019-04-30,0.03574300219726562,0.0027786286322330394,0.03296437356503258,0.040182,0.14999299992728052,0.09159232034809933,0.20145300036621094,0.20338300036621093,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2019-06-28,2019-05-31,2016-04-29,2019-05-31,-2.199877929686539e-05,0.002366155831348981,-0.0023881546106458464,0.047108000000000004,0.14999154109345117,0.07421327881927917,0.1557495,0.1581595,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2019-07-31,2019-06-28,2016-05-31,2019-06-28,-0.0031610067138671907,0.00254893120057851,-0.005709937914445701,0.04539100000000001,0.1499958710395223,0.09750405076928897,0.16371000000000002,0.16750600000000002,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2019-08-30,2019-07-31,2016-06-30,2019-07-31,0.041326,0.003049632907276853,0.03827636709272315,0.042006,0.14999467794170124,0.09719268825842067,0.1678985,0.1682385,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2019-09-30,2019-08-30,2016-07-29,2019-08-30,-0.018423002105712905,0.0028521656119529946,-0.0212751677176659,0.056823,0.1499958015980206,0.0912501017834482,0.158235,0.16399799999999998,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2019-10-31,2019-09-30,2016-08-31,2019-09-30,-0.002649999633789077,0.002685042920231974,-0.005335042554021051,0.04798500000000001,0.14999242557167056,0.09762911280461545,0.16490700000000003,0.16630200000000003,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2019-11-29,2019-10-31,2016-09-30,2019-10-31,0.019830002212524414,0.0030500011764389994,0.016780001036085415,0.0417,0.14999215865514182,0.09863241289663968,0.15812500000000002,0.16629400000000003,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2019-12-31,2019-11-29,2016-10-31,2019-11-29,0.021515000366210943,0.0032897132795456125,0.01822528708666533,0.032097,0.14999390528131745,0.09691350456047684,0.2222875,0.2256575,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2020-01-31,2019-12-31,2016-11-30,2019-12-31,0.010799005249023412,0.0030244712951380363,0.007774533953885375,0.058599,0.14998518195918645,0.059984363118585037,0.2208151998779297,0.22772019987792969,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2020-02-28,2020-01-31,2016-12-30,2020-01-31,-0.0062860052490234415,0.002851499989632859,-0.0091375052386563,0.06013,0.149991292100371,0.07122046688903036,0.18821400000000005,0.19022500000000006,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2020-03-31,2020-02-28,2017-01-31,2020-02-28,0.0,0.0,0.0,0.0,0.14999562278300124,0.0,0.0,0.0,True,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2020-04-30,2020-03-31,2017-02-28,2020-03-31,0.0,0.0,0.0,0.0,0.1499930879266389,0.0,0.0,0.0,True,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2020-05-29,2020-04-30,2017-03-31,2020-04-30,-0.0020529992675781374,0.0010523618431022058,-0.0031053611106803434,0.035454,0.14998525247885017,0.0706114705982812,0.09422370013427736,0.09645270013427736,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2020-06-30,2020-05-29,2017-04-28,2020-05-29,0.026320996459960957,0.0009274887067594259,0.02539350775320153,0.027603,0.14999490196177317,0.0679440758947047,0.081792,0.083604,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2020-07-31,2020-06-30,2017-05-31,2020-06-30,0.007988999633789058,0.0012489301115731855,0.0067400695222158725,0.040435,0.1499903817774619,0.06818951538853321,0.11585929956054687,0.11939429956054687,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2020-08-31,2020-07-31,2017-06-30,2020-07-31,-0.009499996582031218,0.0009192979902570118,-0.01041929457228823,0.030334,0.14999857656656015,0.08755089571043385,0.07339080017089844,0.07659480017089844,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2020-09-30,2020-08-31,2017-07-31,2020-08-31,0.01965900000000001,0.0008386174305283743,0.018820382569471637,0.028784999999999998,0.14999906139993957,0.08962884746454396,0.06561680017089844,0.06561680017089844,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2020-10-30,2020-09-30,2017-08-31,2020-09-30,0.017313998992919924,0.0008312426056540106,0.016482756387265915,0.02734,0.14998739246103593,0.07361144354299919,0.06851139990234377,0.06997139990234377,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2020-11-30,2020-10-30,2017-09-29,2020-10-30,-0.054918999999999996,0.0013594477330072861,-0.05627844773300728,0.049976000000000007,0.14999808307592147,0.07665421528527162,0.10136,0.104008,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig+VIX,R1 repaired net utility,2020-12-31,2020-11-30,2017-10-31,2020-11-30,0.032817002197265625,0.0010094924962719654,0.03180750970099366,0.035894999999999996,0.1499999604324514,0.06384635221996793,0.07549900024414062,0.07814600024414062,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2018-02-28,2018-01-31,2015-02-27,2018-01-31,-0.06007999783325198,0.0010472489471451175,-0.0611272467803971,0.029337000000000002,0.14999680462330983,0.0281133562191273,0.06123339976501465,0.07135439976501465,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2018-04-30,2018-02-28,2015-03-31,2018-02-28,0.026062998565673852,0.0015241960401415808,0.024538802525532272,0.032404,0.14998473611133195,0.060306149235506895,0.0972608003540039,0.1009948003540039,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2018-05-31,2018-04-30,2015-04-30,2018-04-30,0.018268992752075185,0.0011061414148037972,0.017162851337271388,0.034591000000000004,0.14999189465761337,0.06088214089019678,0.07758199996948242,0.09393699996948242,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2018-06-29,2018-05-31,2015-05-29,2018-05-31,0.014399002014160129,0.0012895192920200636,0.013109482722140065,0.027993000000000004,0.1499860238474532,0.033613495651118805,0.12784219932556154,0.13515019932556155,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2018-07-31,2018-06-29,2015-06-30,2018-06-29,0.009989002716064461,0.0012603346383599794,0.008728668077704482,0.030555000000000002,0.1499997085318614,0.04077931533288777,0.07985620037841798,0.09080120037841798,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2018-08-31,2018-07-31,2015-07-31,2018-07-31,0.00023499996948239785,0.0013322408037960633,-0.0010972408343136654,0.038518000000000004,0.14999268366058105,0.06377184713223842,0.0839755993347168,0.09773759933471679,False,True,retrospective_development_extension,new_pre_2021_R1_run
