config,strategy,evidence_status,observations,integer_abstentions,mean_gross_nav,all_information_sets_valid,geometric_annual_return,sortino,sharpe,max_drawdown,expected_shortfall_95,verdict,terminal_wealth,annualized_geometric_return,worst_month,ruin_count,margin_breaches,collateral_breaches,integer_failures,absorbed_validation_paths
larger,R2 robust net Sortino,retrospective_development_sample,93,0,0.004542311827956972,True,0.005997816127814026,0.47930164563601874,0.22566338368961486,-0.04298360508097365,-0.013548498563821159,development_survived,1.0474349089096384,0.005997816127814026,-0.0167601517263093,0,0,0,0,0
larger+VIX,R2 robust net Sortino,retrospective_development_sample,93,0,0.004104354838709659,True,-0.012374655989689898,-0.26505315215425274,-0.2539930156396176,-0.12736751660016443,-0.030612994127497538,development_survived,0.9080081614469553,-0.012374655989689898,-0.1173159302072266,0,0,0,0,0
orig,R2 robust net Sortino,retrospective_development_sample,93,1,0.015788236559139773,True,0.07407325344888527,1.9827532735005615,0.6972340245298574,-0.12022307292357393,-0.031205613254787802,development_survived,1.7398537354798898,0.07407325344888527,-0.0368200467564131,0,0,0,0,0
orig+VIX,R2 robust net Sortino,retrospective_development_sample,93,1,0.022700645161290306,True,0.023025785081760564,0.3970459556304699,0.3126119361139287,-0.1704840256833584,-0.06138710124092559,development_survived,1.1929465786137252,0.023025785081760564,-0.1657844623067858,0,0,0,0,0
