config,strategy,evidence_status,return_date,decision_date,train_start,train_end,train_observations,recent_observations,gross_return,predicted_cost,net_return,gross_nav,selected_scale,expected_net_log_growth,robust_sortino,recent_covariance_weight,predicted_annual_vol,worst_annual_downside,scenario_cvar_loss,worst_three_month_loss,worst_six_month_loss,short_margin_used,collateral_used,integer_execution_abstained,integer_conversion_feasible,integer_contracts,selected_feasible,selected_max_breach,rejected_max_breach,rejected_breach_volatility,rejected_breach_downside,rejected_breach_three_month_loss,rejected_breach_six_month_loss,rejected_breach_assignment,information_set_valid
orig+VIX,R2 robust net Sortino,retrospective_development_sample,2018-02-28,2018-01-31,2015-02-27,2018-01-31,36,36,0.00237,0.0001225934282982031,0.002247406571701797,0.00237,0.007249280478486745,0.004654965736838417,10.033678636806117,0.5,0.021196311841820897,0.002116513508773709,0.0006592530325851065,0.0,0.0,0.03326079978942871,0.03326079978942871,False,True,5,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
orig+VIX,R2 robust net Sortino,retrospective_development_sample,2018-04-30,2018-02-28,2015-02-27,2018-02-28,37,36,0.0004209999999999997,0.00027154859810042843,0.00014945140189957128,0.007337999999999999,0.009844717370758888,0.0048844085354526915,0.23318754663934507,0.5,0.035590262651462604,0.00197358763914514,0.0013028724744744906,0.00013429540599030343,0.0,0.04852140060424805,0.05123740060424805,False,True,19,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
orig+VIX,R2 robust net Sortino,retrospective_development_sample,2018-05-31,2018-04-30,2015-02-27,2018-04-30,38,36,0.0033799999999999998,0.00016728558006018116,0.003212714419939819,0.00653,0.010347524779388466,0.004491907313265998,1.6436483482826976,0.5,0.07162706402471877,0.0011548921854239386,0.0005541659927809559,0.0,0.0,0.03449079936981202,0.03606579936981202,False,True,16,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
orig+VIX,R2 robust net Sortino,retrospective_development_sample,2018-06-29,2018-05-31,2015-02-27,2018-05-31,39,36,0.001118,0.0001262120810442693,0.0009917879189557308,0.00245,0.004389267638255142,0.001520957225567361,27.862578209941855,0.5,0.1161435703376456,0.0020025552574349744,0.002072705135943007,0.0011108397888035526,0.0,0.040443800048828124,0.041109800048828124,False,True,16,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
orig+VIX,R2 robust net Sortino,retrospective_development_sample,2018-07-31,2018-06-29,2015-02-27,2018-06-29,40,36,0.0037609999999999996,0.0005738788766139213,0.0031871211233860785,0.013503,0.017456709006702573,0.006539503384829992,0.20017237661315143,0.5,0.19364484083846514,0.005332392883202338,0.0037347721936710305,0.006579917347510289,0.0,0.07739140014648438,0.08243940014648438,False,True,36,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
orig+VIX,R2 robust net Sortino,retrospective_development_sample,2018-08-31,2018-07-31,2015-02-27,2018-07-31,41,36,-1.4998809814454651e-05,0.0001574334082454035,-0.00017243221805985815,0.0046619999999999995,0.006320681199199711,0.004372373725700883,11.217424533289876,0.5,0.016494806257054514,0.0004063875688317173,0.0002909820417790831,0.0,0.0,0.02385119934082031,0.02635319934082031,False,True,11,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
orig+VIX,R2 robust net Sortino,retrospective_development_sample,2018-09-28,2018-08-31,2015-02-27,2018-08-31,42,36,-0.0005060008392333985,0.0001516447984310487,-0.0006576456376644472,0.0041860000000000005,0.00923862131882371,0.004820735367469328,39.91802762032286,0.5,0.020362677501702894,0.0019290332948245675,-0.00026709688438896704,0.0,0.0,0.029746399688720702,0.0314073996887207,False,True,11,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
orig+VIX,R2 robust net Sortino,retrospective_development_sample,2018-10-31,2018-09-28,2015-02-27,2018-09-28,43,36,-0.010027001647949218,0.00022542876744591689,-0.010252430415395135,0.006339,0.009774466891905115,0.006748479000526117,17.87237742230824,0.5,0.04290531346092817,0.002177453103553591,-0.0001938099703338778,0.0,0.0,0.03804279899597168,0.04066479899597168,False,True,16,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
orig+VIX,R2 robust net Sortino,retrospective_development_sample,2018-11-30,2018-10-31,2015-02-27,2018-10-31,44,36,-0.028705993164062502,0.0007808629534909323,-0.029486856117553435,0.037388000000000005,0.043067197146161945,0.012866676751105045,0.029296304575909548,0.5,0.23056931053939458,0.06584714700014901,0.03816886295349094,0.0878708616240339,0.06012690745648652,0.0,0.037388000000000005,False,True,10,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
orig+VIX,R2 robust net Sortino,retrospective_development_sample,2018-12-31,2018-11-30,2015-02-27,2018-11-30,45,36,-0.011840998992919922,0.00023682390442336627,-0.012077822897343288,0.01035,0.014320179969407027,0.008328749842899974,0.03526629051165943,0.5,0.08329052618466423,0.0213131821910698,0.010153726129689377,0.030429612596006295,0.02395826503126519,0.006653399963378907,0.016733399963378907,False,True,13,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
orig+VIX,R2 robust net Sortino,retrospective_development_sample,2019-01-31,2018-12-31,2015-02-27,2018-12-31,46,36,0.030825960617065436,0.0003009969129847575,0.030524963704080678,0.00952,0.00994094006454613,0.0033182685759577573,0.02897054722106323,0.5,0.13263519236775634,0.02852263714574341,0.009829851652621131,0.02917458205246115,0.04959772804106388,0.0,0.00952,False,True,10,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
orig+VIX,R2 robust net Sortino,retrospective_development_sample,2019-02-28,2019-01-31,2015-02-27,2019-01-31,47,36,0.0003270025253295896,0.00025085332491531947,7.61492004142701e-05,0.011805,0.012764032337138487,0.004189620290715141,0.033324454251454624,0.5,0.13484840535344197,0.02427043348835196,0.014414080871180991,0.042241659209563576,0.05446614594674981,0.00575,0.015415,False,True,24,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
orig+VIX,R2 robust net Sortino,retrospective_development_sample,2019-04-30,2019-02-28,2015-02-27,2019-02-28,48,36,0.016095985397338867,0.0002257966407506556,0.015870188756588213,0.008421,0.010414877095270931,0.005246988119038389,0.08046505667446542,0.5,0.08195985417782889,0.01625511082797354,0.008170159082358472,0.021761458044105453,0.015232490493410578,0.03198799896240234,0.03966899896240234,False,True,17,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
orig+VIX,R2 robust net Sortino,retrospective_development_sample,2019-05-31,2019-04-30,2015-02-27,2019-04-30,49,36,0.0,0.0,0.0,0.0,0.017566030903473594,0.004405161373898476,0.08925812645947565,0.5,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,True,False,0,True,0.0,0.001100791561398029,0.001100791561398029,0.0,0.0,0.0,0.0,True
