path_id,sortino_improvement,net_log_growth_improvement
0,0.29028186138663203,-0.008231911259490476
1,-0.3311778580519876,-0.0039372517579550625
2,-0.9701361850298813,-0.009671499469333322
3,-1.0856181910385432,-0.009481483731266189
4,-1.5206900243102546,-0.012084711725181052
5,-0.6736536169369837,-0.007403313124599447
6,-1.8877306186282303,-0.013386622608813984
7,-0.660157299845328,-0.007580902361315662
8,-1.163118453545215,-0.008939187881925992
9,-0.5975032663460804,-0.006652285312197539
10,-1.3611926512162764,-0.011934745857482366
11,-2.325953365735928,-0.016141527998371
12,-0.5233713086490935,-0.007018044779582479
13,-0.8619678674687412,-0.007164082849142107
14,-0.2542125463974907,-0.005528637623551776
15,0.0642601675709511,-0.006831299011717554
16,-0.6128601631994893,-0.00710497805982537
17,-0.6408078810590936,-0.007430321544626809
18,-0.6474439385538449,-0.005805887768603565
19,-0.23384300090391408,-0.009868007867100747
20,-1.034785948940875,-0.008833276685026802
21,-0.5041248252671668,-0.005325385694704796
22,-0.09514115622300667,-0.005506358722782304
23,-1.3302582685585251,-0.010040246537941432
24,-1.3720498783754536,-0.010587277016146812
25,-0.9196953167252314,-0.00870100606162458
26,1.3749973336334524,-0.006118874836445266
27,-0.31969522441060527,-0.002436309885033805
28,-1.095520534557307,-0.008265416233475893
29,0.926701155320639,-0.005844907193765613
30,-1.3828035399399692,-0.011517637991408404
31,-1.3316585736081923,-0.01078433807016494
32,-0.9466130391136844,-0.007352821937601812
33,-1.1091581211052521,-0.009377093601195517
34,-1.8180975766061676,-0.013564518494346457
35,-0.16830479354914463,-0.008744105822539448
36,0.272729155286608,-0.00803327973461106
37,-0.45120026463097573,-0.004857317369308157
38,-0.43915914800045514,-0.00500066702283237
39,-1.1256262287766665,-0.01065497282421957
40,-0.6168678998625146,-0.009189030367942268
41,-2.3263035662083844,-0.016569852744642212
42,-0.7046858257934949,-0.0065548972867819815
43,-0.30944935965660636,-0.004496753414960104
44,-0.7896674379858449,-0.008183886413686928
45,-1.0622992909879416,-0.0080619816598472
46,-0.007035392099848825,-0.003239721325630981
47,-1.2427566268178252,-0.011246665723247984
48,-1.545722235698443,-0.012568408660623821
49,-1.1239536622244102,-0.009798165192802879
50,-0.6924200887306226,-0.007708049268152994
51,-0.408825035643544,-0.0035121992805912643
52,-0.6394872032111457,-0.006115851624059595
53,-0.9020626108123152,-0.01006132493808453
54,-0.809063681973886,-0.008275328283777394
55,-0.5856608674058694,-0.009245434217418365
56,-1.4572338477317346,-0.01056513097861826
57,-0.23641202721832522,-0.00823271371346469
58,-1.17034243982788,-0.009665573970038316
59,-1.2239601881663418,-0.00907095672125601
60,-1.442771165217321,-0.011689663522527545
61,-1.736943904434753,-0.012053490595355579
62,-0.8204873013447391,-0.008091586924039069
63,-1.116318599731916,-0.008738364725280041
64,-1.5440009987028773,-0.012440671163162132
65,-0.5104725846774107,-0.007581782181595894
66,-0.874694081146745,-0.010600497291740956
67,-1.4901188731779047,-0.011283232034498188
68,-0.8558920596841604,-0.007827288336866014
69,-0.6016202274669897,-0.0059084631599666156
70,-1.1133241500769924,-0.009356018900728045
71,-1.0929668567726674,-0.010398217596774544
72,0.46623551062508506,-0.00865717599685722
73,-0.5073087804888201,-0.005513718915533414
74,-0.23430781548923363,-0.003854426526149132
75,-0.905321007178225,-0.007846160176705563
76,-1.0235469753783213,-0.01071907580755475
77,0.729064456646088,-0.0023626739487128
78,-0.6716336107411851,-0.008795981306040219
79,-1.8863549261025165,-0.013719668958582537
80,-0.6010024559524278,-0.005897890667678651
81,-1.3960057283737943,-0.0119302878738302
82,-2.106032007139059,-0.013675562017186638
83,-0.7369454241460223,-0.007055699416894569
84,-1.9582515098263813,-0.01439416619842612
85,-1.2343524571192974,-0.01101827695517731
86,-1.3794711328503084,-0.010386139025872893
87,-1.2466715491923293,-0.009604952950572817
88,-0.7992713784592305,-0.011064892509758513
89,-1.1592423084497119,-0.010651785559862655
90,-0.681425549894475,-0.0063176495007227565
91,-1.04815203790338,-0.009064595245451388
92,-1.01900367611494,-0.010344023946848947
93,-1.5645828341605748,-0.012515800237421895
94,-1.2364692135143955,-0.009812408502004467
95,-0.5576945489559648,-0.006677964260452699
96,-0.2942426151558858,-0.0045966470300914525
97,-0.10027747131994791,-0.009481218002144718
98,-0.537554446796644,-0.007626600464721384
99,-1.7230108517762712,-0.01457911175107484
100,-1.5220446648885009,-0.01224802720120233
101,-1.0908486728724007,-0.009808204641022222
102,-1.4322182608336758,-0.011221118431035942
103,-0.9745510321489111,-0.0099382169041802
104,-0.7077943065393408,-0.007945323301012306
105,-0.9951069492500249,-0.008820906273884151
106,-0.3229691242319892,-0.009403224335589096
107,-1.0241961555682093,-0.010479026502875712
108,-1.1163705681125806,-0.008864666116248535
109,0.47974842841851384,-0.010081450800181685
110,-0.9596136165193045,-0.008612633564411287
111,-1.1497781028381824,-0.010982047736328592
112,-0.6533140980943132,-0.0074181293636109945
113,-0.8196050384116598,-0.00835511948178644
114,-0.5776552322157148,-0.0071292247956969024
115,-0.8587778484394779,-0.009388411019558139
116,-1.3453539129163363,-0.011191506846674722
117,-1.428649608076001,-0.011090298974403726
118,-0.5928317867160139,-0.006997586364363882
119,-0.39884701882842966,-0.007507817262100581
120,-0.7369489576949446,-0.012967179425807475
121,-1.1741069728908302,-0.009492980338398741
122,-0.8529467606286367,-0.009280655090317821
123,-0.8827661457941262,-0.009666466646174602
