specification,known_trial_count_lower_bound,registry_complete,historical_registry_sha256
R1,598,False,a8e15d792d76aa58f5db2bce0131986e4904bb808f258456a32321e50bab46e2
R1.1,607,False,44ef3939dff10222d324e8b752a282d3cd94e4e64e7fbb538449395837a3dd26
