scope,config,Basis,N splits,N strategies,PBO,Median lambda,Rank correlation IS OOS
all_configs,all,full_cost_net,78,18,0.38461538461538453,0.2113090936672071,0.54624534434191852
within_config,larger,full_cost_net,78,5,0.46153846153846151,0,0.56410256410256365
within_config,larger+VIX,full_cost_net,78,5,0.38461538461538453,0.69314718055994495,0.59615384615384592
within_config,orig,full_cost_net,78,4,0.2307692307692307,1.3862943611198908,0.72222222222222232
within_config,orig+VIX,full_cost_net,78,4,0.1794871794871794,1.3862943611198908,0.66324786324786322
all_configs,all,gross,78,18,0.70512820512820495,-0.89794159320595845,0.1281151190072469
within_config,larger,gross,78,5,0.73076923076923073,-1.6094379124341005,-0.18589743589743571
within_config,larger+VIX,gross,78,5,0.66666666666666663,-1.6094379124341005,-0.1012820512820512
within_config,orig,gross,78,4,0.33333333333333331,1.3862943611198908,0.30911680911680911
within_config,orig+VIX,gross,78,4,0.2179487179487179,0.40546510810816422,0.54472934472934476
