config,strategy,evidence_status,return_date,decision_date,train_start,train_end,march_2020_in_training_window,march_2020_observation_policy,gross_return,predicted_cost,net_return,gross_nav,predicted_annual_vol,risk_aversion,stage1_gross_nav,deployment_target,deployment_target_feasible,deployment_target_applied,deployment_target_met_after_integer_repair,deployment_shortfall_after_integer_repair,positive_edge_contracts,scenario_cvar_loss,short_margin_used,collateral_used,integer_repair_failed,integer_execution_abstained,integer_conversion_feasible,integer_abstention_reason,integer_repair_method,pre_repair_feasible,pre_repair_max_breach,best_failed_method,failed_max_breach,failed_breach_base,failed_breach_cap,failed_breach_cvar,failed_breach_stress,failed_breach_margin,failed_breach_collateral,failed_breach_assignment,failed_breach_volatility,failed_scenario_cvar_loss,failed_worst_stress_return,failed_short_margin_used,failed_collateral_used,failed_predicted_annual_vol,information_set_valid,continuous_predicted_annual_vol,direct_truncation_max_breach,direct_truncation_scenario_cvar_loss,direct_truncation_worst_stress_return,direct_truncation_short_margin_used,direct_truncation_collateral_used,direct_truncation_predicted_annual_vol,direct_truncation_breach_base,direct_truncation_breach_cap,direct_truncation_breach_cvar,direct_truncation_breach_stress,direct_truncation_breach_margin,direct_truncation_breach_collateral,direct_truncation_breach_assignment,direct_truncation_breach_volatility,direct_truncation_breach_positive_edge
orig,R1.1 25pct positive-edge deployment,retrospective_development_sample,2018-02-28,2018-01-31,2015-02-27,2018-01-31,False,retained_if_in_window,-0.0467769861907959,0.0017136034799191,-0.048490589670715,0.08753,0.2129380257644336,0.165197062050228,0.1024046787422829,0.5,False,False,False,0.41247,23,0.0806761135332908,0.0639079998016357,0.1408089998016357,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.2499955543600356,0.0,0.0806761135332908,-0.1018282631455968,0.0639079998016357,0.1408089998016357,0.2129380257644336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct EGARCH diagnostic,retrospective_development_sample,2018-02-28,2018-01-31,2015-02-27,2018-01-31,False,retained_if_in_window,-0.0510279861602783,0.0017942900656279,-0.0528222762259062,0.092249,0.2090184557039961,0.1552693787793295,0.1079140272596531,0.5,False,False,False,0.407751,20,0.0854758001189996,0.0639079998016357,0.1455279998016357,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.249992654650094,0.0,0.0854758001189996,-0.094704946288159,0.0639079998016357,0.1455279998016357,0.2090184557039961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct positive-edge deployment,retrospective_development_sample,2018-04-30,2018-02-28,2015-03-31,2018-02-28,False,retained_if_in_window,0.027293988647461,0.0014841804564186,0.0258098081910424,0.0573,0.2268853642012904,0.3066323998344163,0.0655408214822307,0.5,False,False,False,0.4427,17,0.0874691320867907,0.1548759971618652,0.1963909971618652,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.2499955999505131,0.0,0.0874691320867907,-0.116418629361329,0.1548759971618652,0.1963909971618652,0.2268853642012904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct EGARCH diagnostic,retrospective_development_sample,2018-04-30,2018-02-28,2015-03-31,2018-02-28,False,retained_if_in_window,0.0275879956054687,0.0013416109197447,0.026246384685724,0.059035,0.220243336564491,0.3274782757922624,0.0687332644745351,0.5,False,False,False,0.440965,13,0.0804860520896914,0.1246269981384277,0.1706769981384277,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.2499982208400986,0.0,0.0804860520896914,-0.0986904560292226,0.1246269981384277,0.1706769981384277,0.220243336564491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct positive-edge deployment,retrospective_development_sample,2018-05-31,2018-04-30,2015-04-30,2018-04-30,False,retained_if_in_window,0.0087679739685058,0.0011647212634845,0.0076032527050212,0.063787,0.212413561456959,0.3577198918837294,0.076691084501784,0.5,False,False,False,0.436213,19,0.0539427753127724,0.0404819995880127,0.0979019995880127,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.249985706918714,0.0,0.0539427753127724,-0.0905579763395282,0.0404819995880127,0.0979019995880127,0.212413561456959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct EGARCH diagnostic,retrospective_development_sample,2018-05-31,2018-04-30,2015-04-30,2018-04-30,False,retained_if_in_window,0.0122599837646483,0.0010307589763666,0.0112292247882817,0.059259,0.2079413030178641,0.330564789111016,0.0719962779993898,0.5,False,False,False,0.440741,18,0.0495519146773432,0.0487207994079589,0.1006947994079589,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.2499803199687329,0.0,0.0495519146773432,-0.0777345549914198,0.0487207994079589,0.1006947994079589,0.2079413030178641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct positive-edge deployment,retrospective_development_sample,2018-06-29,2018-05-31,2015-05-29,2018-05-31,False,retained_if_in_window,0.0363860042266844,0.0014358295028893,0.0349501747237951,0.051861,0.2076245280584556,0.454945092211841,0.0624015650779714,0.5,False,False,False,0.448139,19,0.0744942885300815,0.251313000869751,0.286297000869751,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.2499899191343919,0.0,0.0744942885300815,-0.1222366756200765,0.251313000869751,0.286297000869751,0.2076245280584556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct EGARCH diagnostic,retrospective_development_sample,2018-06-29,2018-05-31,2015-05-29,2018-05-31,False,retained_if_in_window,0.0495590086822508,0.0017235123880663,0.0478354962941844,0.064069,0.2129988678554214,0.4924734392474841,0.0766670684062211,0.5,False,False,False,0.435931,21,0.0840553313486364,0.2383620011901855,0.2864400011901855,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.2499961354414968,0.0,0.0840553313486364,-0.1241129993074532,0.2383620011901855,0.2864400011901855,0.2129988678554214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct positive-edge deployment,retrospective_development_sample,2018-07-31,2018-06-29,2015-06-30,2018-06-29,False,retained_if_in_window,0.068179003540039,0.0013921048450755,0.0667868986949635,0.074293,0.2300102281464734,0.3515523377381276,0.0809438168493785,0.5,False,False,False,0.425707,19,0.0842094381113579,0.081376000213623,0.143490000213623,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.2499849136850966,0.0,0.0842094381113579,-0.109424076095489,0.081376000213623,0.143490000213623,0.2300102281464734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct EGARCH diagnostic,retrospective_development_sample,2018-07-31,2018-06-29,2015-06-30,2018-06-29,False,retained_if_in_window,0.0687150075378418,0.0012742585980139,0.0674407489398278,0.0658739999999999,0.2075020856108778,0.3424095732898825,0.0779086577927313,0.5,False,False,False,0.434126,12,0.0747621678098188,0.0766380001068115,0.1310910001068115,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.2499841746855197,0.0,0.0747621678098188,-0.1053775021184476,0.0766380001068115,0.1310910001068115,0.2075020856108778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
