config,strategy,observations,annualized_mean_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,terminal_wealth,defaulted,worst_month,integer_failures,mean_gross_nav
larger,15% volatility-ceiling specification (R1),60,0.040201383836911748,0.033667648467905931,0.12021464818878411,0.33441335513272746,0.53774732181225615,-0.24997877921399392,1.1800614417101887,False,-0.069902397366454205,0,0.038302016666666661
larger+VIX,15% volatility-ceiling specification (R1),60,0.18108008253584179,0.19142839500158648,0.097553142068852489,1.856219888930245,3.846355732410117,-0.071663911985414996,2.4007101662214652,False,-0.059129429662199223,0,0.04999491666666666
orig,15% volatility-ceiling specification (R1),60,0.047657097100164539,0.040626026439506635,0.12588100151452072,0.37858848060298567,0.58765526354666098,-0.28536150359631418,1.2203191254440831,False,-0.078455502832861929,0,0.031752499999999996
orig+VIX,15% volatility-ceiling specification (R1),60,0.2132278936903958,0.22988804040356481,0.096322627663243482,2.2136843529213968,5.0129372634103193,-0.065857533926050205,2.8140246147397523,False,-0.061903438992223482,0,0.048871966666666683
