return_date,legacy_e1_net_return,r1_net_return,r11_net_return
2021-01-29,0.15976797210381691,0.0152202444197394,0.0214955894540249
2021-02-26,-0.24310417065775231,-0.0428766464782653,0
2021-03-31,-0.24634720556595671,-0.024010371665498,-0.042539306703959501
2021-04-30,0.58690163208553292,0.024257041493236799,0.047280339562443201
2021-06-30,-0.0134483814475004,0.0047907491712191001,0.0042694827229290003
2021-07-30,0.050316411089642202,0.032266450515920801,0.057778005863021203
2021-08-31,-0.1118231199120702,0.016863536227748301,0.0271951055555485
2021-09-30,-0.1377060005864871,-0.00085220966649639999,-0.0025993683382140001
2021-10-29,-0.1239627925426395,-0.061903438992223302,-0.1051235735669977
2021-11-30,0.38807690969612391,0.018329190149225402,0.0333585959670284
2021-12-31,-0.095492216446339304,0.0039553521289574,0
2022-01-31,0.45720699329357722,-0.0053550562896208,-0.0111661283804279
2022-02-28,0.29933484992075021,0.036023842664701301,0
2022-04-29,-0.17908331967179411,0.0434018040554425,0
2022-05-31,0.092514246175567305,0.0042302775079886001,0
2022-06-30,0.28566641884585797,0.0132949763761766,0.018736921775624402
2022-07-29,-0.14275456026038011,-0.0090758455645512,-0.0155045598318651
2022-08-31,-0.31507494069618652,0.0011483799224993999,0.00446221637921
2022-09-30,0.070462053087262902,0.027857708064523,0.0463744012628537
2022-10-31,0.00080978581891340002,0.038321726036276503,0.061666819409101001
2022-11-30,0.2271329292869905,3.8338178825910417e-06,-0.0031510738239538
2022-12-30,0.1929107753719676,0.00080410488903639998,-0.0058762951550496
2023-01-31,0.1758899116762852,-0.015286300194186701,-0.021468793874345301
2023-02-28,0.19546633405593761,0.018036933227246501,0.032856872047552901
2023-03-31,0.28369381457237391,0.016856239124433799,0.028088445553223301
2023-04-28,-0.20539398221696531,-0.016095247921987601,-0.0462502549403358
2023-05-31,0.27767923980888271,0.0053495600109192002,0.0079294547648436006
2023-06-30,0.2261731210947856,-0.0055460628489043999,-0.0075418934283823999
2023-07-31,-0.32540514835857343,0.027404088799267302,0.0458972134455033
2023-08-31,0.5470611886237684,0.0077448254635236,0.0078033205419053
2023-09-29,-0.085253898233037806,0.025067311232907698,0.042728106286001301
2023-10-31,-0.0714076451331314,0.039258511904808502,0.061360520312246702
2023-11-30,0.66517330858616386,-0.018047847118712702,-0.019242505171357002
2023-12-29,-0.110025063048852,0.0199313819549163,0.034109875742999202
2024-01-31,0.35494214490894721,0.0227745425279221,0.038650412597584602
2024-02-29,0.29083320655178968,0.033370477471631202,0.055520716809443101
2024-04-30,0.31133759747276618,0.029792493568543101,0.050313678663920301
2024-05-31,-0.0161365556723767,-0.033165141111212201,-0.052241387273278102
2024-06-28,0.17311948704514141,-0.011067526202216901,-0.017424670517166101
2024-07-31,0.2638038118956208,0.0200510685468605,0.043953434474278401
2024-08-30,-0.063817350672026402,0.054320770502305903,0.0936040660813688
2024-09-30,0.0307449086334265,0.035814314291787802,0.061570287445128401
2024-10-31,-0.0153397748122553,0.017273562513165901,0.027343481343943501
2024-11-29,0.49934745738470321,0.029709327909729102,0
2024-12-31,0.51858019403695965,0.045769032874410601,0
2025-01-31,-0.094545450627582406,0.033313714546203001,0
2025-02-28,0.077940794627103197,0.039371627986289501,0
2025-04-30,0.0832674956493763,0.0485203924299644,0
2025-05-30,0.6309612793998115,0.014241992340637,0
2025-06-30,-0.0579723823539375,0.0622384478260481,0
2025-07-31,-0.107560405081487,0.019156432907577001,0
2025-08-29,-0.13544653852448391,0.031012786857130801,0.053793026904615501
2025-09-30,0.63404446975287243,0.056242836123324001,0.1004839381447816
2025-10-31,-0.25766184425714028,0.066323317803002102,0.112768415501093
2025-11-28,0.018075837295675901,0.0088601740834155004,0.0064270886825548001
2025-12-31,-0.2083155361035279,0.017318732324612202,0.028676545138726101
2026-01-30,0.033945641980742902,0.062427393573616402,0.0866379273270107
2026-02-27,0.018826136846957001,0.076266626219953101,0.1226131448626019
2026-03-31,-0.046686215153486303,0.069652570153834706,0.1095650570778578
2026-04-30,0.73286786296443374,-0.0248195420347097,0
