config,strategy,evidence_status,observations,annualized_mean_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,terminal_wealth,defaulted,worst_month,integer_failures,integer_abstentions,mean_gross_nav
larger,25% volatility-ceiling EGARCH diagnostic (R1.1),retrospective_development_sample,93,0.16100101197563466,0.1386718591266114,0.25187917281841826,0.63919938347463767,1.1590752144569374,-0.42267435576866674,2.7358296684068049,False,-0.1296212695147991,0,0,0.07452611827956987
larger,25% volatility-ceiling VIX-40 diagnostic (R1.1),unscored_missing_or_incomplete_executable_quotes,89,0.12075412019861294,0.10208101629438238,0.21871692180336721,0.55210232113258417,0.95039980941444557,-0.39396563962637787,2.0562864724427814,False,-0.12566522183775261,0,0,0.066862838709677408
larger,25% volatility-ceiling specification (R1.1),retrospective_development_sample,93,0.14001978133224482,0.12283199536284695,0.22080841441223242,0.63412339473095714,1.1138905303889617,-0.39396563962637809,2.4543672136173877,False,-0.12566522183775261,0,0,0.066862838709677408
larger+VIX,25% volatility-ceiling EGARCH diagnostic (R1.1),retrospective_development_sample,93,0.14047122263242481,0.13985492108431008,0.13429970899332655,1.0459532912271978,1.9277810096554546,-0.11972963098515055,2.7579363168954685,False,-0.11972963098515051,0,32,0.053401204301075263
larger+VIX,25% volatility-ceiling VIX-40 diagnostic (R1.1),unscored_missing_or_incomplete_executable_quotes,89,0.13825727581948616,0.13927970891499242,0.12055299221540282,1.1468589313191788,2.1113056625217248,-0.12125351882233826,2.6303196029880533,False,-0.10528747948309559,0,34,0.047061387096774175
larger+VIX,25% volatility-ceiling specification (R1.1),retrospective_development_sample,93,0.1407095318827154,0.14231014732037695,0.11853660992780564,1.1870554756746807,2.1965096025855146,-0.12125351882233826,2.80431160402556,False,-0.10528747948309559,0,34,0.047061387096774175
orig,25% volatility-ceiling EGARCH diagnostic (R1.1),retrospective_development_sample,93,0.14183936204404834,0.12070104437454843,0.23843286249583023,0.59488176486799871,1.0791775545644724,-0.38479402033843135,2.4184982030274824,False,-0.12900095560816491,0,0,0.062095204301075256
orig,25% volatility-ceiling VIX-40 diagnostic (R1.1),unscored_missing_or_incomplete_executable_quotes,89,0.11829870538974417,0.10148066695749458,0.20865703198795793,0.56695288082393247,0.95652169222543504,-0.38110033724647174,2.0479932377805152,False,-0.1198328567057505,0,0,0.055456333333333337
orig,25% volatility-ceiling specification (R1.1),retrospective_development_sample,93,0.1331836247046583,0.11765719339245195,0.20971272212162592,0.63507651494512829,1.0967759554871641,-0.38110033724647174,2.3680550092750567,False,-0.1198328567057505,0,0,0.055456333333333337
orig+VIX,25% volatility-ceiling EGARCH diagnostic (R1.1),retrospective_development_sample,93,0.15425149731365997,0.15320844915140253,0.14919963552987614,1.0338597461437649,1.9846389879652235,-0.1440182602333161,3.0184610164161989,False,-0.1250059760658645,0,25,0.058254849462365581
orig+VIX,25% volatility-ceiling VIX-40 diagnostic (R1.1),unscored_missing_or_incomplete_executable_quotes,89,0.15564383331299503,0.15684928166119239,0.13621888869696333,1.1426009623323607,2.1902788537572144,-0.17050118680570481,2.9464752283151365,False,-0.10833085788112019,0,32,0.047610064516129015
orig+VIX,25% volatility-ceiling specification (R1.1),retrospective_development_sample,93,0.15814938309994767,0.16004995578395276,0.1339714878610771,1.1804704540113942,2.2750003352446928,-0.17050118680570481,3.1600529658249568,False,-0.10833085788112019,0,32,0.047610064516129015
