arm,config,return_date,decision_date,gross_return,gross_nav,predicted_cost,net_return,observed_cost_mid,observed_cost_touch,observed_cost_worst,net_return_mid,net_return_touch,net_return_worst,coverage_weight_fraction,uncovered_cost_source,cost_reconstruction,cost_reconstruction_gap,size_exceeds_displayed
R1,orig+VIX,2021-01-29,2020-12-31,0.016304998474121001,0.039895,0.0010847540543815,0.0152202444197394,0.00039336600314470002,0.004141127899408,0.0041638446615652001,0.015911632470976201,0.012163870574712901,0.0121411538125557,0.93861386138613878,modeled,exact,4.0766001685454979e-17,True
R1,orig+VIX,2021-02-26,2021-01-29,-0.041501998779296702,0.051546999999999801,0.0013746476989684,-0.0428766464782653,0.00046319764896940002,0.0018107148366590001,0.0018182312854542,-0.041965196428266301,-0.043312713615955803,-0.0433202300647509,0.90744369216443244,modeled,exact,5.7896396010725937e-17,False
R1,orig+VIX,2021-03-31,2021-02-26,-0.023071999999999902,0.033888000000000001,0.00093837166549800004,-0.024010371665498,0.00047307791835920002,0.0014349616739480001,0.0016948315655243001,-0.023545077918359102,-0.024506961673947902,-0.0247668315655242,0.8209395656279509,modeled,exact,9.6168732699464243e-17,True
R1,orig+VIX,2021-04-30,2021-03-31,0.0252299978027343,0.027864,0.00097295630949740001,0.024257041493236702,0.00053158688117040001,0.0024012375492930001,0.0025413119252782001,0.024698410921563701,0.022828760253441101,0.022688685877456,0.86523830031581961,modeled,exact,5.074066167232162e-17,True
R1,orig+VIX,2021-06-30,2021-04-30,0.0055209999999999001,0.022498000000000001,0.00073025082878060003,0.0047907491712191001,0.00037529098737430002,0.0044477539603974001,0.0046557249748904002,0.0051457090126253002,0.0010732460396021,0.0008652750251094,0.89430171570806305,modeled,exact,9.8879238130678004e-17,True
R1,orig+VIX,2021-07-30,2021-06-30,0.033416999633789003,0.034446999999999901,0.0011505491178682001,0.032266450515920801,0.00088899748105570003,0.0018452422752485,0.0019071967109167,0.032528002152733201,0.031571757358540301,0.031509802922872102,0.29636833396231882,modeled,exact,4.2717565595928875e-17,False
R1,orig+VIX,2021-08-31,2021-07-30,0.0177289956054687,0.023022999999999901,0.00086545937772020002,0.016863536227748301,0.00057434488725410001,0.0036068418484828,0.0036468322620475,0.017154650718214402,0.014122153756985801,0.014082163343421,0.69091777787430253,modeled,exact,6.5052130349130276e-19,True
R1,orig+VIX,2021-09-30,2021-08-31,0.00017699620056150001,0.023486,0.0010292058670581001,-0.00085220966649630003,0.00080846742350570001,0.0026253130311099,0.0027554733417100002,-0.00063147122294430005,-0.0024483168305483001,-0.0025784771411485,0.4079877373754569,modeled,exact,1.3444106938820257e-17,True
R1,orig+VIX,2021-10-29,2021-09-30,-0.060719000915527302,0.040920999999999902,0.0011844380766961001,-0.061903438992223302,0.0011531579734127,0.0012219928530645,0.0012226490060151,-0.061872158888940203,-0.061940993768591801,-0.061941649921542302,0.0481904156789911,modeled,exact,3.5995512126518747e-17,True
R1,orig+VIX,2021-11-30,2021-10-29,0.019054998352050701,0.02017,0.00072580820282510002,0.018329190149225402,0.00064323721210190002,0.00073653064510730004,0.00080603034807830002,0.018411761139948701,0.018318467706943301,0.018248968003972101,0.34590976698066112,modeled,exact,4.1308102771697731e-17,True
R1,orig+VIX,2021-12-31,2021-11-30,0.0052079983520507004,0.0412449999999999,0.0012526462230931,0.0039553521289574,0.001201237975007,0.0014292197505533001,0.0014989161002822,0.0040067603770436002,0.0037787786014972001,0.0037090822517683,0.1003273124015031,modeled,exact,9.6710833785707008e-17,True
R1,orig+VIX,2022-01-31,2021-12-31,-0.0046579993896483001,0.019088000000000001,0.0006970568999722,-0.0053550562896208,0.00067770922065670002,0.00070144245745800001,0.00071072205605570002,-0.0053357086103052002,-0.0053594418471064002,-0.0053687214457041003,0.0692057837384744,modeled,exact,6.3751087742147673e-17,True
