config,participation,aum,n_candidate_contracts,n_active_contracts,deployed_gross,top5_share,n_active_at_cap,at_cap_share,cap_budget
orig,0.050000000000000003,1000000,49,47,0.49675799999999992,0.42073001340693061,3,0.063829787234042507,0.73854267499999993
orig+VIX,0.050000000000000003,1000000,54,54,0.72341800000000012,0.3238736111072712,5,0.092592592592592504,1.0931024250000001
larger,0.050000000000000003,1000000,262,243,0.59446699999999941,0.23296667434861831,19,0.0781893004115225,1.1602635999999986
larger+VIX,0.050000000000000003,1000000,267,253,0.83601199999999953,0.29585938957814012,21,0.0830039525691698,1.5148233499999983
